edge_index0,edge_index1,pred,gr
1687,893,1.0,1.0
1331,712,1.0,1.0
1127,580,1.0,1.0
304,535,1.0,1.0
666,1233,1.0,1.0
1318,1304,1.0,1.0
366,365,1.0,1.0
864,64,1.0,1.0
882,887,1.0,1.0
1172,339,1.0,1.0
725,415,1.0,1.0
892,934,1.0,1.0
122,1338,1.0,1.0
1157,1553,1.0,1.0
64,339,1.0,1.0
83,11,1.0,1.0
666,448,1.0,1.0
1374,1099,1.0,1.0
1135,1679,1.0,1.0
103,101,1.0,1.0
1511,1509,1.0,1.0
541,38,1.0,1.0
1385,1341,1.0,1.0
266,1704,1.0,1.0
1045,1617,1.0,1.0
153,332,1.0,1.0
1211,1727,1.0,1.0
1140,290,1.0,1.0
76,210,1.0,1.0
423,422,1.0,1.0
1760,1246,1.0,1.0
1714,628,1.0,1.0
743,1344,1.0,1.0
401,839,1.0,1.0
1140,1049,1.0,1.0
1644,1553,1.0,1.0
1369,696,1.0,1.0
1053,1624,1.0,1.0
416,856,1.0,1.0
442,1461,1.0,1.0
608,1161,1.0,1.0
415,407,1.0,1.0
307,695,1.0,1.0
1262,1768,1.0,1.0
308,309,1.0,1.0
291,111,1.0,1.0
1380,806,1.0,1.0
1074,485,1.0,1.0
250,90,1.0,1.0
1023,1093,1.0,1.0
356,746,1.0,1.0
1242,1666,1.0,1.0
141,396,1.0,1.0
1728,661,1.0,1.0
27,77,1.0,1.0
1458,430,1.0,1.0
752,429,1.0,1.0
1079,1644,1.0,1.0
357,46,1.0,1.0
1239,674,1.0,1.0
1108,1146,1.0,1.0
469,467,1.0,1.0
1805,451,1.0,1.0
65,170,1.0,1.0
974,662,1.0,1.0
633,1187,1.0,1.0
782,1174,1.0,1.0
96,273,1.0,1.0
752,122,1.0,1.0
1749,450,1.0,1.0
1206,1727,1.0,1.0
518,1007,1.0,1.0
757,1335,1.0,1.0
35,32,1.0,1.0
548,984,1.0,1.0
358,773,1.0,1.0
1216,1728,1.0,1.0
1834,257,0.0,1.0
1571,525,1.0,1.0
441,883,1.0,1.0
548,482,1.0,1.0
305,563,1.0,1.0
930,1496,0.0,1.0
1739,1389,1.0,1.0
67,480,1.0,1.0
431,886,1.0,1.0
1847,1737,1.0,1.0
900,903,0.0,1.0
1682,1754,1.0,1.0
1147,597,1.0,1.0
1168,1018,0.0,1.0
1619,1620,1.0,1.0
1002,897,1.0,1.0
386,1483,0.0,1.0
1574,671,1.0,1.0
1547,1743,1.0,1.0
44,112,1.0,1.0
356,355,1.0,1.0
1706,26,1.0,1.0
64,314,1.0,1.0
