edge_index0,edge_index1,pred,gr
136,324,1.0,1.0
637,1068,1.0,1.0
1110,1233,1.0,1.0
647,907,1.0,1.0
663,1101,1.0,1.0
254,552,1.0,1.0
69,747,1.0,1.0
1340,1338,1.0,1.0
907,1078,1.0,1.0
360,717,1.0,1.0
293,297,1.0,1.0
210,165,0.0,1.0
494,914,1.0,1.0
82,201,1.0,1.0
52,598,1.0,1.0
184,424,1.0,1.0
254,551,1.0,1.0
379,4,1.0,1.0
231,511,1.0,1.0
1421,916,1.0,1.0
1281,1261,1.0,1.0
495,226,1.0,1.0
145,331,1.0,1.0
131,42,1.0,1.0
1230,430,1.0,1.0
950,1444,1.0,1.0
966,1457,1.0,1.0
830,1171,1.0,1.0
558,985,1.0,1.0
980,374,1.0,1.0
434,826,1.0,1.0
1416,483,1.0,1.0
344,689,1.0,1.0
317,132,1.0,1.0
391,389,1.0,1.0
190,384,1.0,1.0
1174,461,1.0,1.0
866,1376,1.0,1.0
1389,1261,1.0,1.0
52,609,1.0,1.0
81,79,1.0,1.0
131,307,1.0,1.0
919,1367,1.0,1.0
67,34,1.0,1.0
361,721,1.0,1.0
1375,1118,1.0,1.0
411,181,1.0,1.0
689,1136,1.0,1.0
493,897,1.0,1.0
52,930,1.0,1.0
228,989,1.0,1.0
894,1400,0.0,1.0
339,143,1.0,1.0
743,1156,1.0,1.0
1106,1104,1.0,1.0
484,218,1.0,1.0
984,183,1.0,1.0
562,258,1.0,1.0
93,245,1.0,1.0
206,472,1.0,1.0
512,940,1.0,1.0
690,560,1.0,1.0
390,392,1.0,1.0
986,269,1.0,1.0
433,1226,1.0,1.0
17,45,1.0,1.0
218,498,1.0,1.0
905,727,1.0,1.0
581,1015,1.0,1.0
101,252,1.0,1.0
727,1054,1.0,1.0
126,294,1.0,1.0
431,479,1.0,1.0
621,94,1.0,1.0
183,807,1.0,1.0
1050,52,1.0,1.0
269,585,1.0,1.0
863,1313,1.0,1.0
151,362,1.0,1.0
828,432,1.0,1.0
736,1201,1.0,1.0
794,1261,1.0,1.0
1189,218,1.0,1.0
217,744,0.0,1.0
768,1241,1.0,1.0
428,388,1.0,1.0
945,52,1.0,1.0
483,493,1.0,1.0
1048,1047,1.0,1.0
989,1497,1.0,1.0
81,199,1.0,1.0
691,1137,1.0,1.0
1460,968,1.0,1.0
1450,715,1.0,1.0
980,1482,1.0,1.0
1276,1279,1.0,1.0
906,727,1.0,1.0
358,205,1.0,1.0
1173,167,1.0,1.0
1091,635,1.0,1.0
152,359,1.0,1.0
117,242,1.0,1.0
611,1047,1.0,1.0
176,763,1.0,1.0
989,1519,1.0,1.0
198,329,1.0,1.0
138,191,1.0,1.0
738,980,1.0,1.0
909,504,1.0,1.0
850,204,1.0,1.0
399,71,1.0,1.0
249,96,1.0,1.0
42,89,1.0,1.0
354,78,1.0,1.0
34,193,1.0,1.0
131,302,1.0,1.0
59,139,1.0,1.0
400,71,1.0,1.0
28,71,1.0,1.0
256,558,1.0,1.0
518,933,1.0,1.0
182,407,1.0,1.0
470,870,1.0,1.0
763,177,1.0,1.0
1380,1105,1.0,1.0
818,750,1.0,1.0
1347,357,1.0,1.0
399,767,1.0,1.0
799,1283,1.0,1.0
34,24,1.0,1.0
494,493,1.0,1.0
274,604,1.0,1.0
189,386,1.0,1.0
225,504,1.0,1.0
152,357,1.0,1.0
888,727,1.0,1.0
1076,224,1.0,1.0
692,1142,1.0,1.0
139,140,1.0,1.0
952,262,1.0,1.0
799,497,1.0,1.0
303,652,1.0,1.0
727,1187,1.0,1.0
144,352,1.0,1.0
522,287,1.0,1.0
88,494,1.0,1.0
573,575,1.0,1.0
691,1139,1.0,1.0
926,224,1.0,1.0
733,1203,1.0,1.0
436,659,0.0,1.0
615,52,1.0,1.0
1040,275,1.0,1.0
1095,1369,1.0,1.0
