edge_index0,edge_index1,pred,gr
492,995,1.0,1.0
1783,687,0.0,1.0
1082,548,1.0,1.0
277,625,1.0,1.0
1273,1271,1.0,1.0
352,351,1.0,1.0
882,477,1.0,1.0
1127,1324,1.0,1.0
864,414,1.0,1.0
430,458,1.0,1.0
121,328,1.0,1.0
582,250,1.0,1.0
1635,1405,1.0,1.0
64,1324,1.0,1.0
1165,522,1.0,1.0
83,11,1.0,1.0
986,1546,1.0,1.0
279,459,1.0,1.0
1341,1067,1.0,1.0
1090,1616,1.0,1.0
102,282,1.0,1.0
1192,1671,1.0,1.0
270,38,1.0,1.0
478,984,1.0,1.0
1361,1296,1.0,1.0
494,1004,1.0,1.0
152,320,1.0,1.0
1733,1528,1.0,1.0
1095,287,1.0,1.0
1019,205,1.0,1.0
67,187,1.0,1.0
1587,637,1.0,1.0
1826,1827,1.0,1.0
1735,1219,1.0,1.0
1502,597,1.0,1.0
713,1300,1.0,1.0
387,819,1.0,1.0
1095,1618,1.0,1.0
1776,1393,1.0,1.0
1008,1564,1.0,1.0
843,415,1.0,1.0
867,489,1.0,1.0
1111,1121,1.0,1.0
414,393,1.0,1.0
374,805,1.0,1.0
1374,1837,1.0,1.0
1152,1181,1.0,1.0
674,678,1.0,1.0
288,110,1.0,1.0
1351,779,1.0,1.0
1652,1104,1.0,1.0
244,90,1.0,1.0
344,739,1.0,1.0
1199,1599,1.0,1.0
140,380,1.0,1.0
1678,1016,1.0,1.0
27,71,1.0,1.0
1478,435,1.0,1.0
725,719,1.0,1.0
640,806,1.0,1.0
536,1063,1.0,1.0
1665,1490,1.0,1.0
65,170,1.0,1.0
1662,652,1.0,1.0
475,889,1.0,1.0
754,406,1.0,1.0
93,260,1.0,1.0
725,121,1.0,1.0
97,272,1.0,1.0
727,1309,1.0,1.0
35,32,1.0,1.0
1129,835,1.0,1.0
716,742,1.0,1.0
1161,1678,1.0,1.0
962,251,1.0,1.0
1757,874,1.0,1.0
171,176,1.0,1.0
1129,405,1.0,1.0
278,526,1.0,1.0
448,928,1.0,1.0
1207,1208,1.0,1.0
67,1540,1.0,1.0
436,912,1.0,1.0
1533,912,1.0,1.0
886,441,1.0,1.0
1619,1257,1.0,1.0
410,337,1.0,1.0
1100,567,1.0,1.0
1122,1255,0.0,1.0
1547,982,1.0,1.0
1736,884,1.0,1.0
372,798,1.0,1.0
1165,528,1.0,1.0
1839,1378,1.0,1.0
44,111,1.0,1.0
344,343,1.0,1.0
1648,26,1.0,1.0
933,1507,1.0,1.0
64,303,1.0,1.0
1811,1414,1.0,1.0
548,1074,0.0,1.0
171,435,1.0,1.0
1457,893,1.0,1.0
1266,1640,1.0,1.0
891,1465,1.0,1.0
1681,1680,1.0,1.0
795,1148,1.0,1.0
296,1231,1.0,1.0
57,64,1.0,1.0
577,1063,1.0,1.0
1705,1196,1.0,1.0
44,113,0.0,1.0
1194,648,1.0,1.0
102,287,1.0,1.0
698,396,0.0,1.0
65,178,1.0,1.0
928,1443,1.0,1.0
823,60,1.0,1.0
429,899,0.0,1.0
169,418,1.0,1.0
1551,683,1.0,1.0
755,754,1.0,1.0
704,1287,1.0,1.0
83,546,1.0,1.0
1662,1190,1.0,1.0
1105,1103,1.0,1.0
1631,1129,1.0,1.0
1062,247,1.0,1.0
676,640,1.0,1.0
1695,704,1.0,1.0
43,105,1.0,1.0
64,729,1.0,1.0
192,983,1.0,1.0
1057,1592,1.0,1.0
584,1121,1.0,1.0
971,1535,1.0,1.0
1272,616,1.0,1.0
524,1035,0.0,1.0
683,1253,1.0,1.0
374,627,1.0,1.0
1107,1634,1.0,1.0
969,894,1.0,1.0
628,526,1.0,1.0
1118,1640,1.0,1.0
431,584,1.0,1.0
279,1672,1.0,1.0
858,863,1.0,1.0
33,34,1.0,1.0
1236,297,1.0,1.0
171,169,1.0,1.0
1140,1193,1.0,1.0
883,980,1.0,1.0
1749,1748,0.0,1.0
926,421,1.0,1.0
1226,1224,1.0,1.0
265,268,1.0,1.0
778,1266,1.0,1.0
1242,1500,1.0,1.0
1685,1255,0.0,1.0
552,235,1.0,1.0
1650,1588,1.0,1.0
1061,959,1.0,1.0
676,1188,1.0,1.0
182,451,0.0,1.0
335,735,1.0,1.0
1629,834,1.0,1.0
861,313,1.0,1.0
522,332,1.0,1.0
683,1260,1.0,1.0
704,593,1.0,1.0
1205,1714,1.0,1.0
100,277,1.0,1.0
692,1272,1.0,1.0
1535,1540,1.0,1.0
134,359,1.0,1.0
665,673,1.0,1.0
1490,1665,1.0,1.0
195,26,1.0,1.0
1302,399,1.0,1.0
79,1151,1.0,1.0
435,909,1.0,1.0
1288,1779,1.0,1.0
556,83,1.0,1.0
697,414,1.0,1.0
1459,1736,1.0,1.0
857,168,1.0,1.0
1098,1621,1.0,1.0
654,1201,1.0,1.0
396,372,1.0,1.0
1459,1008,1.0,1.0
716,745,1.0,1.0
184,423,1.0,1.0
723,333,1.0,1.0
1372,1836,0.0,1.0
1022,77,1.0,1.0
1417,1414,1.0,1.0
961,1527,1.0,1.0
227,543,1.0,1.0
1478,440,1.0,1.0
44,109,1.0,1.0
279,1211,1.0,1.0
46,115,1.0,1.0
1179,1016,1.0,1.0
922,418,1.0,1.0
369,361,1.0,1.0
341,189,1.0,1.0
435,473,1.0,1.0
818,734,1.0,1.0
1129,1627,1.0,1.0
362,776,1.0,1.0
1338,534,1.0,1.0
441,169,1.0,1.0
77,208,1.0,1.0
883,170,1.0,1.0
359,754,1.0,1.0
894,1469,1.0,1.0
1135,1134,1.0,1.0
338,123,1.0,1.0
851,847,1.0,1.0
1467,426,1.0,1.0
64,1651,1.0,1.0
805,632,1.0,1.0
1478,429,1.0,1.0
659,667,1.0,1.0
865,166,1.0,1.0
1046,250,1.0,1.0
391,390,1.0,1.0
559,1083,1.0,1.0
372,370,1.0,1.0
948,455,1.0,1.0
1627,1241,1.0,1.0
669,1234,1.0,1.0
747,746,1.0,1.0
64,394,1.0,1.0
112,311,1.0,1.0
129,351,1.0,1.0
12,9,1.0,1.0
704,118,1.0,1.0
114,315,1.0,1.0
1362,259,1.0,1.0
747,764,1.0,1.0
137,369,1.0,1.0
856,719,1.0,1.0
435,171,1.0,1.0
353,764,1.0,1.0
926,868,1.0,1.0
1522,1541,1.0,1.0
1123,1644,1.0,1.0
1547,1453,1.0,1.0
776,135,1.0,1.0
555,547,1.0,1.0
1371,1315,1.0,1.0
585,536,1.0,1.0
581,1114,1.0,1.0
279,1118,1.0,1.0
64,1384,1.0,1.0
80,217,1.0,1.0
807,1379,0.0,1.0
1546,986,1.0,1.0
156,378,1.0,1.0
601,91,1.0,1.0
1132,596,1.0,1.0
1245,1244,1.0,1.0
1353,250,1.0,1.0
879,881,1.0,1.0
779,780,1.0,1.0
702,64,1.0,1.0
1814,1315,1.0,1.0
887,279,1.0,1.0
1005,1123,1.0,1.0
913,448,1.0,1.0
65,169,1.0,1.0
161,814,1.0,1.0
371,794,1.0,1.0
1151,38,1.0,1.0
452,937,1.0,1.0
1495,1134,1.0,1.0
596,1138,1.0,1.0
736,733,1.0,1.0
238,552,1.0,1.0
1441,1545,1.0,1.0
875,657,1.0,1.0
65,928,1.0,1.0
912,545,1.0,1.0
1640,1641,1.0,1.0
731,121,1.0,1.0
1100,1527,1.0,1.0
223,4,1.0,1.0
1208,1717,1.0,1.0
81,224,1.0,1.0
764,747,1.0,1.0
1153,7,0.0,1.0
1553,1239,1.0,1.0
1395,408,1.0,1.0
123,342,1.0,1.0
1608,559,1.0,1.0
903,1479,1.0,1.0
341,123,1.0,1.0
629,1011,1.0,1.0
648,646,1.0,1.0
278,634,1.0,1.0
1447,994,1.0,1.0
67,181,0.0,1.0
235,551,1.0,1.0
1062,1044,1.0,1.0
237,548,1.0,1.0
260,560,1.0,1.0
255,189,1.0,1.0
1838,106,1.0,1.0
1393,93,1.0,1.0
1306,250,1.0,1.0
1535,1822,1.0,1.0
313,699,1.0,1.0
343,738,1.0,1.0
869,447,1.0,1.0
906,421,1.0,1.0
1700,1512,1.0,1.0
929,995,1.0,1.0
954,1359,1.0,1.0
67,183,1.0,1.0
405,1539,1.0,1.0
584,1119,1.0,1.0
1134,26,1.0,1.0
201,200,1.0,1.0
277,533,1.0,1.0
1268,1771,1.0,1.0
150,390,1.0,1.0
1775,1282,1.0,1.0
1423,1799,1.0,1.0
1623,519,1.0,1.0
665,672,1.0,1.0
682,1251,1.0,1.0
60,63,1.0,1.0
1708,1619,1.0,1.0
235,552,1.0,1.0
1535,1538,1.0,1.0
1111,88,1.0,1.0
189,1493,1.0,1.0
1641,1640,1.0,1.0
737,334,1.0,1.0
65,880,1.0,1.0
1405,809,1.0,1.0
1423,1384,1.0,1.0
651,711,1.0,1.0
279,1225,1.0,1.0
1408,1635,1.0,1.0
794,1363,1.0,1.0
