edge_index0,edge_index1,pred,gr
136,313,1.0,1.0
594,1032,1.0,1.0
558,991,1.0,1.0
1146,1208,1.0,1.0
608,1049,1.0,1.0
677,1135,1.0,1.0
254,543,1.0,1.0
70,737,1.0,1.0
1334,1332,1.0,1.0
1049,1050,1.0,1.0
364,691,1.0,1.0
290,295,1.0,1.0
84,1222,0.0,1.0
484,900,1.0,1.0
82,203,0.0,1.0
52,572,1.0,1.0
730,1213,1.0,1.0
190,434,1.0,1.0
254,548,1.0,1.0
378,4,1.0,1.0
228,496,1.0,1.0
1392,897,1.0,1.0
1234,1059,1.0,1.0
482,229,1.0,1.0
150,210,1.0,1.0
131,42,1.0,1.0
1224,850,1.0,1.0
892,1382,1.0,1.0
963,1434,1.0,1.0
836,401,1.0,1.0
552,427,1.0,1.0
190,433,1.0,1.0
980,1169,1.0,1.0
1214,1210,1.0,1.0
443,732,1.0,1.0
1381,485,1.0,1.0
335,646,1.0,1.0
351,144,0.0,1.0
455,856,1.0,1.0
394,392,1.0,1.0
196,389,1.0,1.0
1173,465,1.0,1.0
52,1012,1.0,1.0
79,80,1.0,1.0
131,305,1.0,1.0
489,906,1.0,1.0
68,34,1.0,1.0
365,694,1.0,1.0
422,187,1.0,1.0
646,1095,1.0,1.0
477,888,1.0,1.0
52,909,0.0,1.0
886,1375,1.0,1.0
1220,473,0.0,1.0
331,143,1.0,1.0
396,621,1.0,1.0
1143,1140,1.0,1.0
526,346,1.0,1.0
985,189,1.0,1.0
555,258,1.0,1.0
94,245,1.0,1.0
369,711,1.0,1.0
497,917,1.0,1.0
647,554,1.0,1.0
393,395,1.0,1.0
986,623,1.0,1.0
17,45,1.0,1.0
268,269,1.0,1.0
1119,390,1.0,1.0
1426,1441,1.0,1.0
102,252,1.0,1.0
390,741,1.0,1.0
126,292,1.0,1.0
440,473,1.0,1.0
480,95,1.0,1.0
189,1193,1.0,1.0
262,52,1.0,1.0
623,605,1.0,1.0
156,370,1.0,1.0
834,441,1.0,1.0
1465,1490,1.0,1.0
803,1059,1.0,1.0
1373,346,1.0,1.0
225,371,1.0,1.0
775,1244,1.0,1.0
843,696,1.0,1.0
927,52,1.0,1.0
485,477,1.0,1.0
1445,767,1.0,1.0
1021,1020,1.0,1.0
79,199,0.0,1.0
1270,1482,1.0,1.0
1437,965,1.0,1.0
1427,1096,1.0,1.0
980,1461,1.0,1.0
1272,1273,1.0,1.0
1120,390,1.0,1.0
362,690,1.0,1.0
171,172,1.0,1.0
1111,592,1.0,1.0
154,363,1.0,1.0
478,243,1.0,1.0
582,1020,1.0,1.0
182,411,1.0,1.0
206,209,1.0,1.0
83,197,1.0,1.0
1122,493,1.0,1.0
687,205,1.0,1.0
410,72,1.0,1.0
249,97,1.0,1.0
42,90,1.0,1.0
138,81,1.0,1.0
34,198,1.0,1.0
131,300,1.0,1.0
57,133,1.0,1.0
28,72,1.0,1.0
256,552,1.0,1.0
506,923,1.0,1.0
188,418,1.0,1.0
767,1445,1.0,1.0
707,1195,1.0,1.0
411,183,1.0,1.0
1339,972,1.0,1.0
1395,489,1.0,1.0
1350,368,1.0,1.0
410,428,1.0,1.0
34,24,1.0,1.0
484,477,1.0,1.0
195,883,1.0,1.0
227,493,1.0,1.0
154,368,1.0,1.0
400,758,1.0,1.0
1047,241,1.0,1.0
1346,455,1.0,1.0
133,134,1.0,1.0
580,911,1.0,1.0
830,524,1.0,1.0
301,613,1.0,1.0
1342,696,1.0,1.0
688,1162,1.0,1.0
396,1228,0.0,1.0
511,284,1.0,1.0
89,484,1.0,1.0
585,1024,1.0,1.0
1125,241,1.0,1.0
445,663,1.0,1.0
1008,52,1.0,1.0
1115,1352,1.0,1.0
1387,1076,1.0,1.0
469,870,1.0,1.0
987,1479,1.0,1.0
910,908,1.0,1.0
485,476,1.0,1.0
314,65,0.0,1.0
523,945,1.0,1.0
361,66,1.0,1.0
384,257,1.0,1.0
101,103,1.0,1.0
492,52,1.0,1.0
8,34,1.0,1.0
1169,276,1.0,1.0
1061,843,1.0,1.0
978,1079,1.0,1.0
448,1457,1.0,1.0
862,1348,1.0,1.0
146,352,1.0,1.0
529,672,1.0,1.0
238,109,1.0,1.0
1341,696,1.0,1.0
210,206,1.0,1.0
286,292,0.0,1.0
82,65,1.0,1.0
556,987,1.0,1.0
540,966,1.0,1.0
942,899,1.0,1.0
292,96,1.0,1.0
401,767,1.0,1.0
1291,1001,1.0,1.0
1272,1133,1.0,1.0
379,167,1.0,1.0
1297,172,1.0,1.0
597,1038,1.0,1.0
1298,1165,1.0,1.0
731,852,1.0,1.0
448,846,1.0,1.0
1059,787,1.0,1.0
283,586,0.0,1.0
470,88,1.0,1.0
805,788,1.0,1.0
52,296,1.0,1.0
659,346,1.0,1.0
218,487,1.0,1.0
911,1404,1.0,1.0
1011,268,1.0,1.0
147,34,1.0,1.0
524,346,1.0,1.0
778,775,1.0,1.0
1376,1485,1.0,1.0
384,383,1.0,1.0
1059,1304,1.0,1.0
364,692,1.0,1.0
176,405,1.0,1.0
346,882,1.0,1.0
1058,749,1.0,1.0
989,987,1.0,1.0
1429,376,1.0,1.0
1494,1002,1.0,1.0
1486,1461,1.0,1.0
500,514,1.0,1.0
635,636,1.0,1.0
145,84,1.0,1.0
258,552,1.0,1.0
1,672,1.0,1.0
175,400,1.0,1.0
122,55,1.0,1.0
838,630,1.0,1.0
66,153,1.0,1.0
91,228,1.0,1.0
450,849,1.0,1.0
744,1124,1.0,1.0
292,286,0.0,1.0
1468,255,1.0,1.0
353,684,1.0,1.0
95,245,1.0,1.0
190,362,1.0,1.0
1129,164,1.0,1.0
346,659,1.0,1.0
697,1186,1.0,1.0
899,1392,1.0,1.0
139,320,1.0,1.0
568,1009,1.0,1.0
320,1323,1.0,1.0
1344,270,0.0,1.0
315,140,1.0,1.0
510,284,1.0,1.0
1062,751,1.0,1.0
78,148,1.0,1.0
882,346,1.0,1.0
59,81,1.0,1.0
1049,1051,1.0,1.0
665,1118,1.0,1.0
497,516,1.0,1.0
505,924,1.0,1.0
134,133,1.0,1.0
442,827,1.0,1.0
428,812,1.0,1.0
87,214,1.0,1.0
1125,346,1.0,1.0
987,1483,1.0,1.0
1440,1218,0.0,1.0
889,488,1.0,1.0
1138,686,1.0,1.0
827,1301,1.0,1.0
421,187,1.0,1.0
113,277,1.0,1.0
1059,1234,1.0,1.0
137,147,1.0,1.0
