edge_index0,edge_index1,pred,gr
700,1355,0.0,1.0
1314,1139,1.0,1.0
1645,935,1.0,1.0
418,408,1.0,1.0
420,1059,1.0,1.0
1444,1456,1.0,1.0
534,533,1.0,1.0
1307,64,0.0,1.0
242,229,1.0,1.0
1301,185,1.0,1.0
1147,599,1.0,1.0
673,669,1.0,1.0
137,500,1.0,1.0
973,376,1.0,1.0
64,185,1.0,1.0
1031,900,1.0,1.0
87,11,1.0,1.0
420,668,0.0,1.0
1867,1621,1.0,1.0
118,115,0.0,1.0
1383,1374,1.0,1.0
385,38,1.0,1.0
834,1440,1.0,1.0
1321,636,1.0,1.0
394,1011,1.0,1.0
168,491,1.0,1.0
1464,1255,1.0,1.0
1653,434,1.0,1.0
80,317,1.0,1.0
67,284,1.0,1.0
1501,1792,1.0,1.0
1161,1841,1.0,1.0
569,1269,1.0,1.0
1653,1562,1.0,1.0
1200,1078,1.0,1.0
606,588,1.0,1.0
704,697,0.0,1.0
966,1521,1.0,1.0
599,575,1.0,1.0
423,1077,1.0,1.0
1132,1818,1.0,1.0
424,425,1.0,1.0
1105,1109,1.0,1.0
435,126,1.0,1.0
1870,1224,1.0,1.0
1589,1582,1.0,1.0
370,94,1.0,1.0
1572,932,1.0,1.0
524,192,1.0,1.0
420,269,1.0,1.0
156,559,1.0,1.0
1704,1034,1.0,1.0
27,76,1.0,1.0
460,218,1.0,1.0
1164,1162,1.0,1.0
525,46,1.0,1.0
1063,1119,1.0,1.0
919,1610,1.0,1.0
786,784,1.0,1.0
180,596,0.0,1.0
65,799,1.0,1.0
824,234,1.0,1.0
1191,662,1.0,1.0
101,391,1.0,1.0
1164,137,1.0,1.0
1742,670,1.0,1.0
1462,1255,1.0,1.0
97,386,1.0,1.0
1168,1840,1.0,1.0
35,32,1.0,1.0
888,895,1.0,1.0
526,1177,1.0,1.0
1705,1704,1.0,1.0
1475,377,1.0,1.0
1094,853,1.0,1.0
237,243,1.0,1.0
888,661,1.0,1.0
419,909,1.0,1.0
751,1357,1.0,1.0
1723,1718,1.0,1.0
67,252,1.0,1.0
675,683,1.0,1.0
259,683,0.0,1.0
801,753,1.0,1.0
1490,1483,1.0,1.0
629,518,1.0,1.0
1404,953,1.0,1.0
1674,1451,1.0,1.0
1710,1543,1.0,1.0
436,797,1.0,1.0
554,228,1.0,1.0
1031,342,1.0,1.0
1096,1113,1.0,1.0
44,127,1.0,1.0
524,523,1.0,1.0
64,472,1.0,1.0
139,525,1.0,1.0
935,1636,1.0,1.0
237,218,1.0,1.0
1510,1412,1.0,1.0
670,807,1.0,1.0
925,1628,1.0,1.0
1249,764,1.0,1.0
452,457,1.0,1.0
883,1351,1.0,1.0
57,64,1.0,1.0
974,1610,1.0,1.0
44,129,0.0,1.0
1765,201,1.0,1.0
118,434,0.0,1.0
1150,578,1.0,1.0
65,1366,1.0,1.0
1357,694,1.0,1.0
560,60,1.0,1.0
743,1427,1.0,1.0
708,247,1.0,1.0
1430,1135,1.0,1.0
1192,1191,1.0,1.0
811,1525,1.0,1.0
87,357,1.0,1.0
1658,1657,1.0,1.0
1615,373,1.0,1.0
1107,1063,1.0,1.0
43,121,1.0,1.0
64,189,1.0,1.0
289,838,1.0,1.0
1609,1612,1.0,1.0
808,1521,1.0,1.0
712,775,1.0,1.0
1833,1020,1.0,1.0
351,932,1.0,1.0
1135,1775,0.0,1.0
423,426,1.0,1.0
711,1406,1.0,1.0
1041,909,1.0,1.0
279,807,1.0,1.0
714,808,1.0,1.0
420,1050,1.0,1.0
1281,631,1.0,1.0
33,34,1.0,1.0
1788,444,1.0,1.0
237,708,1.0,1.0
1503,1764,1.0,1.0
105,199,1.0,1.0
791,1478,1.0,1.0
1421,1535,1.0,1.0
1514,665,1.0,1.0
1801,1245,1.0,1.0
388,110,1.0,1.0
1114,670,1.0,1.0
689,1396,1.0,1.0
767,1451,1.0,1.0
939,361,1.0,1.0
1339,868,1.0,1.0
1575,1527,1.0,1.0
1107,1752,1.0,1.0
278,803,1.0,1.0
514,184,1.0,1.0
885,1346,1.0,1.0
1279,482,1.0,1.0
900,501,0.0,1.0
1135,1825,1.0,1.0
811,993,1.0,1.0
114,418,1.0,1.0
1142,1833,1.0,1.0
775,252,1.0,1.0
150,541,1.0,1.0
1123,1104,1.0,1.0
784,786,1.0,1.0
69,26,1.0,1.0
1152,64,1.0,1.0
182,580,0.0,1.0
83,332,1.0,1.0
218,679,1.0,1.0
1722,420,0.0,1.0
280,812,1.0,1.0
942,87,1.0,1.0
1151,599,1.0,1.0
756,436,1.0,1.0
1299,1144,1.0,1.0
1655,1766,1.0,1.0
1037,1713,0.0,1.0
578,554,1.0,1.0
756,1439,1.0,1.0
526,1174,1.0,1.0
215,276,1.0,1.0
509,505,1.0,1.0
1760,994,1.0,1.0
1594,81,1.0,1.0
344,921,1.0,1.0
460,729,1.0,1.0
44,125,1.0,1.0
420,1053,1.0,1.0
46,131,1.0,1.0
1681,1779,1.0,1.0
420,1071,0.0,1.0
420,1722,0.0,1.0
1738,1034,1.0,1.0
663,247,1.0,1.0
551,543,1.0,1.0
233,286,1.0,1.0
218,680,1.0,1.0
1268,681,1.0,1.0
888,1590,1.0,1.0
544,1223,1.0,1.0
1861,930,1.0,1.0
753,708,1.0,1.0
81,325,1.0,1.0
1421,799,1.0,1.0
541,1191,1.0,1.0
314,312,1.0,1.0
1753,1722,0.0,1.0
517,139,1.0,1.0
1432,1042,0.0,1.0
1283,600,1.0,1.0
1074,1763,1.0,1.0
64,602,1.0,1.0
1077,117,1.0,1.0
460,743,1.0,1.0
766,454,1.0,1.0
176,589,1.0,1.0
914,376,1.0,1.0
1573,1341,1.0,1.0
573,572,1.0,1.0
817,819,1.0,1.0
554,552,0.0,1.0
1518,806,1.0,1.0
1590,1515,1.0,1.0
1110,1787,1.0,1.0
661,1340,0.0,1.0
1184,1183,1.0,1.0
64,562,1.0,1.0
884,1581,1.0,1.0
128,480,1.0,1.0
145,533,1.0,1.0
12,9,1.0,1.0
811,134,1.0,1.0
130,484,1.0,1.0
1874,390,1.0,1.0
1184,1211,1.0,1.0
153,551,1.0,1.0
1285,1162,1.0,1.0
218,237,1.0,1.0
535,1211,0.0,1.0
1514,666,1.0,1.0
890,1410,1.0,1.0
1100,1777,1.0,1.0
1710,1032,1.0,1.0
