edge_index0,edge_index1,pred,gr
159,4,1.0,1.0
191,376,1.0,1.0
102,200,1.0,1.0
72,149,1.0,1.0
73,153,1.0,1.0
564,625,1.0,1.0
76,164,1.0,1.0
26,70,1.0,1.0
272,727,1.0,1.0
85,172,1.0,1.0
550,88,1.0,1.0
297,534,1.0,1.0
570,195,1.0,1.0
17,23,0.0,1.0
631,356,1.0,1.0
449,448,0.0,1.0
196,381,1.0,1.0
89,182,1.0,1.0
279,63,1.0,1.0
425,499,1.0,1.0
283,250,1.0,1.0
192,146,1.0,1.0
131,287,1.0,1.0
90,303,1.0,1.0
109,61,0.0,1.0
240,453,1.0,1.0
266,496,0.0,1.0
787,114,1.0,1.0
185,88,1.0,1.0
69,90,1.0,1.0
563,153,1.0,1.0
62,133,1.0,1.0
112,277,1.0,1.0
645,424,1.0,1.0
571,67,1.0,1.0
161,210,0.0,1.0
60,130,0.0,1.0
288,112,1.0,1.0
823,102,1.0,1.0
259,260,1.0,1.0
43,31,1.0,1.0
108,233,1.0,1.0
408,695,0.0,1.0
751,231,1.0,1.0
67,143,1.0,1.0
437,441,1.0,1.0
297,67,1.0,1.0
506,820,1.0,1.0
42,41,1.0,1.0
465,451,1.0,1.0
194,570,1.0,1.0
52,116,1.0,1.0
54,123,1.0,1.0
675,672,1.0,1.0
86,175,1.0,1.0
439,235,1.0,1.0
563,67,1.0,1.0
359,612,1.0,1.0
379,570,1.0,1.0
465,784,1.0,1.0
823,822,1.0,1.0
747,444,1.0,1.0
773,46,1.0,1.0
64,141,0.0,1.0
704,216,1.0,1.0
549,180,1.0,1.0
676,204,1.0,1.0
512,796,1.0,1.0
610,352,1.0,1.0
564,74,1.0,1.0
330,328,1.0,1.0
385,667,1.0,1.0
481,801,1.0,1.0
743,64,0.0,1.0
527,521,1.0,1.0
208,207,1.0,1.0
201,206,1.0,1.0
242,458,1.0,1.0
659,94,1.0,1.0
126,267,1.0,1.0
412,702,1.0,1.0
532,146,1.0,1.0
84,168,1.0,1.0
67,545,1.0,1.0
108,440,1.0,1.0
739,136,1.0,1.0
168,648,1.0,1.0
263,493,1.0,1.0
628,632,1.0,1.0
301,534,1.0,1.0
237,49,1.0,1.0
262,260,1.0,1.0
27,564,1.0,1.0
430,525,1.0,1.0
27,39,1.0,1.0
424,25,1.0,1.0
298,536,1.0,1.0
612,359,1.0,1.0
763,431,1.0,1.0
594,593,1.0,1.0
442,753,1.0,1.0
279,236,1.0,1.0
449,112,1.0,1.0
440,444,1.0,1.0
260,486,1.0,1.0
27,149,1.0,1.0
504,99,1.0,1.0
339,355,1.0,1.0
423,272,1.0,1.0
236,49,1.0,1.0
408,556,1.0,1.0
687,681,1.0,1.0
490,483,1.0,1.0
272,423,1.0,1.0
129,278,1.0,1.0
43,97,1.0,1.0
336,588,1.0,1.0
570,194,1.0,1.0
810,120,1.0,1.0
272,722,1.0,1.0
649,90,1.0,1.0
49,109,1.0,1.0
114,133,1.0,1.0
418,707,1.0,1.0
662,703,1.0,1.0
524,218,1.0,1.0
94,199,1.0,1.0
292,67,1.0,1.0
649,75,1.0,1.0
425,57,1.0,1.0
707,813,1.0,1.0
200,390,1.0,1.0
303,548,1.0,1.0
65,142,1.0,1.0
166,202,1.0,1.0
54,485,1.0,1.0
378,654,1.0,1.0
12,10,1.0,1.0
594,725,1.0,1.0
739,285,1.0,1.0
235,439,1.0,1.0
330,210,0.0,1.0
483,119,1.0,1.0
196,382,1.0,1.0
802,580,1.0,1.0
649,188,1.0,1.0
647,620,1.0,0.0
557,286,0.0,0.0
8,364,0.0,0.0
803,101,0.0,0.0
184,722,0.0,0.0
664,609,0.0,0.0
249,139,1.0,0.0
659,218,1.0,0.0
683,333,1.0,0.0
432,281,0.0,0.0
266,257,0.0,0.0
192,411,0.0,0.0
497,305,1.0,0.0
689,191,0.0,0.0
706,394,0.0,0.0
738,329,0.0,0.0
253,352,1.0,0.0
554,380,0.0,0.0
721,369,0.0,0.0
572,348,1.0,0.0
700,309,0.0,0.0
289,182,0.0,0.0
728,535,1.0,0.0
785,434,0.0,0.0
597,708,1.0,0.0
746,807,0.0,0.0
488,74,0.0,0.0
708,496,1.0,0.0
517,89,1.0,0.0
573,201,0.0,0.0
776,2,0.0,0.0
289,815,0.0,0.0
731,332,0.0,0.0
213,710,1.0,0.0
496,261,0.0,0.0
812,590,1.0,0.0
223,375,1.0,0.0
684,740,1.0,0.0
810,680,1.0,0.0
53,809,1.0,0.0
734,775,1.0,0.0
38,740,0.0,0.0
431,616,0.0,0.0
447,210,1.0,0.0
530,317,1.0,0.0
617,309,0.0,0.0
633,704,0.0,0.0
3,8,0.0,0.0
