edge_index0,edge_index1,pred,gr
423,139,1.0,1.0
315,180,1.0,1.0
8,33,0.0,1.0
168,84,1.0,1.0
158,280,1.0,1.0
393,210,0.0,1.0
245,70,1.0,1.0
518,515,1.0,1.0
332,523,1.0,1.0
451,82,0.0,1.0
267,82,1.0,1.0
484,82,1.0,1.0
415,329,1.0,1.0
153,82,1.0,1.0
272,451,1.0,1.0
507,505,1.0,1.0
242,405,1.0,1.0
40,79,1.0,1.0
246,414,1.0,1.0
47,88,1.0,1.0
295,497,1.0,1.0
98,192,1.0,1.0
45,94,1.0,1.0
25,346,1.0,1.0
244,68,1.0,1.0
229,342,1.0,1.0
88,45,1.0,1.0
82,153,1.0,1.0
82,142,1.0,1.0
520,304,1.0,1.0
223,123,1.0,1.0
98,301,1.0,1.0
171,297,1.0,1.0
44,88,1.0,1.0
69,70,1.0,1.0
260,145,1.0,1.0
327,147,1.0,1.0
142,84,1.0,1.0
251,421,1.0,1.0
274,278,1.0,1.0
485,82,1.0,1.0
462,154,1.0,1.0
183,321,1.0,1.0
244,387,1.0,1.0
84,102,1.0,1.0
471,472,1.0,1.0
219,367,1.0,1.0
117,214,1.0,1.0
286,479,0.0,1.0
127,34,1.0,1.0
248,417,1.0,1.0
130,235,1.0,1.0
331,152,1.0,1.0
82,327,1.0,1.0
384,242,1.0,1.0
408,363,1.0,1.0
191,290,1.0,1.0
335,111,1.0,1.0
238,130,1.0,1.0
274,284,1.0,1.0
88,91,1.0,1.0
338,127,1.0,1.0
278,78,1.0,1.0
172,85,1.0,1.0
258,73,1.0,1.0
163,289,1.0,1.0
273,461,1.0,1.0
111,201,1.0,1.0
304,509,1.0,1.0
216,363,1.0,1.0
257,109,1.0,1.0
149,269,1.0,1.0
469,82,1.0,1.0
490,485,1.0,1.0
229,338,1.0,1.0
74,145,1.0,1.0
266,56,1.0,1.0
34,340,1.0,1.0
124,120,1.0,1.0
295,371,1.0,1.0
169,142,1.0,1.0
219,366,1.0,1.0
229,388,1.0,1.0
269,283,1.0,1.0
187,301,1.0,1.0
59,115,1.0,1.0
226,385,1.0,1.0
299,504,1.0,1.0
142,78,1.0,1.0
129,67,1.0,1.0
338,230,1.0,1.0
210,354,1.0,1.0
275,274,1.0,1.0
504,152,1.0,1.0
279,465,1.0,1.0
413,136,1.0,1.0
205,34,1.0,1.0
413,401,1.0,1.0
192,98,1.0,1.0
112,2,1.0,1.0
124,208,1.0,1.0
127,202,1.0,1.0
268,453,1.0,1.0
178,316,1.0,1.0
386,325,1.0,1.0
98,196,1.0,1.0
68,363,1.0,1.0
152,273,1.0,1.0
466,331,1.0,1.0
295,426,1.0,1.0
277,464,1.0,1.0
235,395,1.0,1.0
262,444,1.0,1.0
261,440,1.0,1.0
320,360,1.0,1.0
163,288,1.0,1.0
190,84,1.0,1.0
334,203,1.0,1.0
408,350,1.0,1.0
82,448,1.0,1.0
126,386,1.0,1.0
206,117,1.0,1.0
297,502,1.0,1.0
423,250,1.0,1.0
2,112,1.0,1.0
471,472,1.0,1.0
39,77,1.0,1.0
