Metric,Hits@1,Hits@3,Hits@10,Hits@20,Hits@50,Hits@100,MRR,mrr_hit1,mrr_hit3,mrr_hit10,mrr_hit20,mrr_hit50,mrr_hit100,AUC,AP,acc,hidden_channels,batch_size,lr
arxiv_2023_run8sdaz1oa_SEAL,30.68,35.65,47.31,52.59,62.63,72.62,35.83,30.68,35.65,47.31,52.59,62.63,72.62,95.64,95.42,53.6,32,32,0.001
arxiv_2023_runsppjvv69_SEAL,30.68,35.65,46.04,52.89,62.63,72.62,35.83,30.68,35.65,46.04,52.89,62.63,72.62,95.64,95.42,77.56,32,32,0.0001
arxiv_2023_runh8zy0jjx_SEAL,32.71,35.65,41.84,52.89,58.62,72.62,36.51,32.71,35.65,41.84,52.89,58.62,72.62,95.64,95.42,77.56,32,64,0.001
arxiv_2023_runxxl4dvgy_SEAL,25.61,35.5,41.84,52.89,58.62,72.62,32.86,25.61,35.5,41.84,52.89,58.62,72.62,95.64,95.42,77.56,32,64,0.0001
arxiv_2023_runq0e3argw_SEAL,25.61,35.5,41.84,52.89,58.62,75.05,32.86,25.61,35.5,41.84,52.89,58.62,75.05,95.64,95.42,77.56,32,128,0.001
arxiv_2023_runi4s8kuje_SEAL,31.03,26.93,44.98,53.09,64.5,72.82,31.13,31.03,26.93,44.98,53.09,64.5,72.82,95.35,95.19,74.19,32,64,0.001
arxiv_2023_runbho5b2qw_SEAL,31.03,26.93,44.98,53.09,64.5,72.82,31.13,31.03,26.93,44.98,53.09,64.5,72.82,95.35,95.19,74.19,32,64,0.0001
arxiv_2023_runir2p5xld_SEAL,18.31,26.93,46.04,51.93,61.05,70.79,28.25,18.31,26.93,46.04,51.93,61.05,70.79,95.39,95.41,71.25,32,128,0.001
arxiv_2023_run37byzog6_SEAL,26.88,26.93,46.04,52.03,61.05,70.79,33.24,26.88,26.93,46.04,52.03,61.05,70.79,95.39,95.41,71.25,32,128,0.0001
arxiv_2023_runnozjx4s6_SEAL,26.88,26.93,46.04,52.03,61.05,70.79,33.24,26.88,26.93,46.04,52.03,61.05,70.79,95.39,95.41,71.25,32,256,0.001
