Metric,Hits@1,Hits@3,Hits@10,Hits@20,Hits@50,Hits@100,MRR,mrr_hit1,mrr_hit3,mrr_hit10,mrr_hit20,mrr_hit50,mrr_hit100,AUC,AP,acc,hidden_channels,batch_size,lr
pubmed_runhaesxyot_SEAL,52.98,75.95,83.26,87.59,91.56,94.99,65.91,52.98,75.95,83.26,87.59,91.56,94.99,99.15,99.23,87.27,32,32,0.001
pubmed_run9k6dxj8v_SEAL,56.5,76.94,83.89,87.68,91.47,95.04,74.55,56.5,76.94,83.89,87.68,91.47,95.04,99.05,99.15,92.62,32,64,0.001
pubmed_runz75pgqdw_SEAL,56.5,76.94,83.89,87.68,91.47,95.04,74.55,56.5,76.94,83.89,87.68,91.47,95.04,99.05,99.15,92.62,32,64,0.0001
pubmed_runjm9dhkgk_SEAL,41.38,68.01,78.93,86.64,91.7,94.0,55.19,41.38,68.01,78.93,86.64,91.7,94.0,99.0,99.09,94.76,64,128,0.001
pubmed_runoz5alczc_SEAL,55.14,74.01,82.72,88.18,92.06,94.81,63.23,55.14,74.01,82.72,88.18,92.06,94.81,99.07,99.16,94.76,64,128,0.0001
pubmed_runbpxjx13e_SEAL,53.84,77.57,82.72,88.18,92.06,94.81,67.06,53.84,77.57,82.72,88.18,92.06,94.81,99.07,99.16,88.65,64,256,0.001
pubmed_runmjk0bdd9_SEAL,58.84,67.01,77.26,85.65,90.39,94.22,64.86,58.84,67.01,77.26,85.65,90.39,94.22,99.02,99.07,93.19,128,128,0.001
pubmed_run50f28vd9_SEAL,58.84,70.04,77.26,87.09,91.2,94.27,64.86,58.84,70.04,77.26,87.09,91.2,94.27,99.01,99.04,93.19,128,128,0.0001
pubmed_runwig8rbsa_SEAL,58.17,70.58,79.33,83.08,88.22,91.38,64.43,58.17,70.58,79.33,83.08,88.22,91.38,98.53,98.65,51.67,256,32,0.001
pubmed_run5xsbok56_SEAL,41.83,64.89,84.12,88.04,91.65,94.45,56.54,41.83,64.89,84.12,88.04,91.65,94.45,99.02,99.09,79.15,256,32,0.001
pubmed_run771zz4tw_SEAL,64.49,74.41,82.99,86.96,91.47,94.31,70.8,64.49,74.41,82.99,86.96,91.47,94.31,99.04,99.13,84.03,32,32,0.0001
pubmed_rundu0e3sts_SEAL,57.9,78.93,84.12,88.9,92.69,94.45,68.38,57.9,78.93,84.12,88.9,92.69,94.45,99.12,99.2,95.17,256,32,0.0001
pubmed_runiawvzt6z_SEAL,57.9,78.93,84.12,88.9,92.69,94.45,68.38,57.9,78.93,84.12,88.9,92.69,94.45,99.12,99.2,95.17,256,64,0.001
pubmed_run11c5yjr1_SEAL,57.9,78.93,84.12,88.9,92.69,94.45,68.38,57.9,78.93,84.12,88.9,92.69,94.45,99.12,99.2,95.17,256,64,0.0001
pubmed_runqlbwohsj_SEAL,57.9,78.93,86.15,88.27,92.69,94.81,68.38,57.9,78.93,86.15,88.27,92.69,94.81,99.12,99.2,95.17,256,128,0.001
Best,64.49,78.93,86.15,88.9,92.69,95.04,74.55,64.49,78.93,86.15,88.9,92.69,95.04,99.15,99.23,95.17,256,256,0.001
