Metric,Hits@1,Hits@3,Hits@10,Hits@20,Hits@50,Hits@100,MRR,mrr_hit1,mrr_hit3,mrr_hit10,mrr_hit20,mrr_hit50,mrr_hit100,AUC,AP,acc,out_channels,hidden_channels,batch_size,lr,batch_size_sampler,num_neighbors,num_hops,epochs
cora_run67z8kc4b_GAE,15.45,28.08,58.83,89.85,100.0,100.0,28.28,15.45,28.08,58.83,89.85,100.0,100.0,64.56,87.17,73.21,32,32,32,0.1,32,5,3,200
cora_run9v6454kd_GAE,15.45,28.08,58.83,89.85,100.0,100.0,28.28,15.45,28.08,58.83,89.85,100.0,100.0,69.18,87.17,73.21,32,32,32,0.1,32,5,4,200
cora_runokk99d3u_GAE,15.45,28.08,58.83,89.85,100.0,100.0,28.28,15.45,28.08,58.83,89.85,100.0,100.0,77.68,86.52,73.21,32,32,32,0.1,32,5,5,200
cora_runjago6qow_GAE,7.32,28.08,58.83,89.85,100.0,100.0,28.28,7.32,28.08,58.83,89.85,100.0,100.0,82.13,86.95,73.21,32,32,32,0.1,32,5,6,200
cora_runs7relenm_GAE,7.32,28.08,58.83,89.85,100.0,100.0,28.28,7.32,28.08,58.83,89.85,100.0,100.0,87.49,89.81,79.29,32,32,32,0.1,32,5,7,200
cora_runtavt9uf1_GAE,7.32,28.08,58.83,89.85,100.0,100.0,28.28,7.32,28.08,58.83,89.85,100.0,100.0,89.89,91.76,79.29,32,32,32,0.1,32,5,8,200
cora_runc2lupzvh_GAE,7.32,28.08,58.83,89.85,100.0,100.0,28.28,7.32,28.08,58.83,89.85,100.0,100.0,89.5,91.76,79.29,32,32,32,0.1,32,5,9,200
cora_run92lklu55_GAE,7.32,28.08,58.83,89.85,100.0,100.0,28.28,7.32,28.08,58.83,89.85,100.0,100.0,89.5,91.76,79.29,32,32,32,0.1,32,5,10,200
cora_run7cfjs9l9_GAE,7.32,23.63,58.83,89.85,100.0,100.0,23.66,7.32,23.63,58.83,89.85,100.0,100.0,89.5,91.76,79.29,32,32,32,0.1,32,10,3,200
cora_runvgpdvidt_GAE,7.32,23.63,58.83,89.85,100.0,100.0,23.66,7.32,23.63,58.83,89.85,100.0,100.0,89.5,91.76,79.29,32,32,32,0.1,32,10,4,200
cora_runk8ci39ig_GAE,16.41,23.63,58.83,89.85,100.0,100.0,23.14,16.41,23.63,58.83,89.85,100.0,100.0,89.5,91.76,79.29,32,32,32,0.1,32,10,5,200
cora_runwy4v1q90_GAE,16.41,23.63,58.83,89.85,100.0,100.0,23.14,16.41,23.63,58.83,89.85,100.0,100.0,89.5,91.76,79.29,32,32,32,0.1,32,10,6,200
cora_runqe1yl3n8_GAE,16.41,23.63,58.83,89.85,100.0,100.0,23.14,16.41,23.63,58.83,89.85,100.0,100.0,91.58,90.99,82.66,32,32,32,0.1,32,10,7,200
cora_runc5p5xyfx_GAE,16.41,23.63,58.83,89.85,100.0,100.0,23.14,16.41,23.63,58.83,89.85,100.0,100.0,91.58,90.99,82.66,32,32,32,0.1,32,10,8,200
cora_runz5df5tn0_GAE,16.41,23.63,58.83,89.85,100.0,100.0,23.14,16.41,23.63,58.83,89.85,100.0,100.0,91.58,90.99,82.66,32,32,32,0.1,32,10,9,200
cora_rund23bp2bi_GAE,16.41,23.63,58.83,89.85,100.0,100.0,23.14,16.41,23.63,58.83,89.85,100.0,100.0,91.58,90.99,82.66,32,32,32,0.1,32,10,10,200
cora_runqoh0hjkq_GAE,16.41,23.63,58.83,89.85,100.0,100.0,23.14,16.41,23.63,58.83,89.85,100.0,100.0,91.58,90.99,82.66,32,32,32,0.1,32,20,3,200
cora_runtld1twov_GAE,14.23,21.27,58.83,89.85,100.0,100.0,21.22,14.23,21.27,58.83,89.85,100.0,100.0,91.58,90.99,82.66,32,32,32,0.1,32,20,4,200
