Metric,Hits@1,Hits@3,Hits@10,Hits@20,Hits@50,Hits@100,MRR,mrr_hit1,mrr_hit3,mrr_hit10,mrr_hit20,mrr_hit50,mrr_hit100,AUC,AP,ACC,out_channels,hidden_channels,base_lr,score_num_layers_predictor,score_gin_mlp_layer,score_hidden_channels,score_out_channels,score_num_layers,score_dropout,product,epochs,train_time,test_time,params
cora_runkmlgcjgr_GraphSage_hyperlkjpc40e,5.1,11.22,18.71,40.82,74.49,96.94,11.35,5.1,11.22,18.71,40.82,57.65,96.94,80.23,84.61,77.01,16,16,0.015,1,2,64,1,1,0.1,inner,100,14.852535963058472,14.95676851272583,46928
cora_runkmlgcjgr_GraphSage_hypercgeh4t34,0.28,11.22,18.71,40.82,74.49,96.94,11.35,0.28,11.22,18.71,40.82,57.65,96.94,80.23,84.61,77.01,16,16,0.015,1,2,64,1,1,0.1,inner,100,18.49194073677063,18.674537897109985,46928
cora_runkmlgcjgr_GraphSage_hypernolrotws,4.02,11.22,18.71,40.82,74.49,96.94,11.35,4.02,11.22,18.71,40.82,57.65,96.94,80.23,84.61,77.01,16,16,0.015,1,2,64,1,1,0.1,inner,100,22.106388330459595,22.29389381408692,46928
cora_runkmlgcjgr_GraphSage_hyperfaq7kz9w,4.02,11.22,18.71,40.82,74.49,96.94,11.35,4.02,11.22,18.71,40.82,57.65,96.94,80.23,84.61,77.01,16,16,0.015,1,2,64,1,1,0.1,inner,100,23.704976558685303,23.86650824546814,46928
cora_runkmlgcjgr_GraphSage_hyper7c8zuaa9,4.02,11.22,18.71,40.82,74.49,96.94,11.35,4.02,11.22,18.71,40.82,57.65,96.94,80.23,84.61,77.01,16,16,0.015,1,2,64,1,1,0.1,inner,100,19.832072257995605,19.98791265487671,46928
cora_runkmlgcjgr_GraphSage_hyperxqsu5uek,4.02,11.22,18.71,40.82,74.49,96.94,11.35,4.02,11.22,18.71,40.82,57.65,96.94,80.23,84.61,77.01,16,16,0.015,1,2,64,1,1,0.1,inner,100,22.95924067497253,23.1752667427063,46928
cora_runkmlgcjgr_GraphSage_hyperz5wufpt1,4.02,11.22,18.71,40.82,74.49,96.94,11.35,4.02,11.22,18.71,40.82,57.65,96.94,80.23,84.61,77.01,16,16,0.015,1,2,64,1,1,0.1,inner,100,24.43232703208924,24.5859956741333,46928
cora_runkmlgcjgr_GraphSage_hyperrgh81uzu,4.02,11.22,18.71,40.82,74.49,96.94,11.35,4.02,11.22,18.71,40.82,57.65,96.94,80.23,84.61,77.01,16,16,0.015,1,2,64,1,1,0.1,inner,100,26.05356311798096,26.24781990051269,46928
cora_runkmlgcjgr_GraphSage_hyperqzqewo6s,4.02,11.22,18.71,40.82,74.49,96.94,11.35,4.02,11.22,18.71,40.82,57.65,96.94,80.23,84.61,77.01,16,16,0.015,1,2,64,1,1,0.1,inner,100,23.59829926490784,23.777693271636963,46928
cora_runkmlgcjgr_GraphSage_hyperuafuaeed,4.02,11.22,18.71,40.82,74.49,96.94,11.35,4.02,11.22,18.71,40.82,57.65,96.94,80.23,84.61,77.01,16,16,0.015,1,2,64,1,1,0.1,inner,100,25.09966969490052,25.258718013763428,46928
