Metric,Hits@1,Hits@3,Hits@10,Hits@20,Hits@50,Hits@100,MRR,mrr_hit1,mrr_hit3,mrr_hit10,mrr_hit20,mrr_hit50,mrr_hit100,AUC,AP,acc,out_channels,hidden_channels,batch_size,lr,batch_size_sampler,num_neighbors,num_hops,epochs
cora_rund43iff4a_VGAE,1.16,7.13,57.15,68.97,87.91,97.17,19.44,1.16,24.58,58.39,68.97,87.91,97.17,90.2,90.79,79.01,32,32,32,0.1,32,5,6,100
cora_runj7qi1qii_VGAE,1.16,7.13,57.15,68.97,87.91,97.17,19.44,1.16,24.58,58.39,68.97,87.91,97.17,90.2,90.79,79.01,32,32,32,0.1,32,5,7,100
cora_runq86bkx0d_VGAE,1.16,7.13,57.15,68.97,87.91,97.17,19.44,1.16,24.58,58.39,68.97,87.91,97.17,90.2,90.79,79.01,32,32,32,0.1,32,5,8,100
cora_runytclln10_VGAE,0.0,0.0,0.0,0.0,74.95,92.94,3.98,0.0,0.0,0.0,44.76,77.93,92.94,88.5,86.61,76.25,32,32,32,0.1,32,5,9,100
cora_runqi7mtln9_VGAE,0.0,0.0,0.0,0.0,74.95,92.94,3.98,0.0,0.0,0.0,44.76,77.93,91.6,88.5,86.61,76.25,32,32,32,0.1,32,5,10,100
cora_runts8te0au_VGAE,0.0,0.0,0.0,0.0,72.62,88.31,3.59,0.0,0.0,0.0,57.52,70.3,88.31,86.66,84.92,75.2,32,32,32,0.1,32,10,6,100
cora_runyc7frdds_VGAE,0.0,0.0,0.0,0.0,64.51,87.4,3.81,0.0,0.0,0.0,51.92,64.52,88.34,86.75,84.79,77.62,32,32,32,0.1,32,10,7,50
cora_runmkty2eox_VGAE,0.0,0.0,0.0,0.0,64.51,87.42,3.81,0.0,0.0,0.0,51.92,64.53,88.31,86.75,84.79,77.62,32,32,32,0.1,32,10,7,50
cora_run739zuqc6_VGAE,0.0,0.0,0.0,0.0,64.51,87.42,3.81,0.0,0.0,0.0,51.92,64.53,89.99,88.23,85.73,76.26,32,32,32,0.1,32,10,8,50
cora_runvhuyz4lq_VGAE,0.0,0.0,0.0,0.0,64.51,82.06,3.09,0.0,0.0,0.0,51.92,61.25,89.99,88.23,85.73,74.57,32,32,32,0.1,32,20,6,50
cora_runfmd4l9iz_VGAE,0.0,0.0,0.0,0.0,10.95,79.3,2.72,0.0,0.0,0.0,0.0,62.09,79.3,83.64,79.61,74.15,32,32,32,0.1,32,20,7,50
cora_run5v3zc6a1_VGAE,0.0,0.0,0.0,0.0,10.95,79.3,2.72,0.0,0.0,0.0,0.0,62.09,79.3,86.38,79.61,75.77,32,32,32,0.1,32,20,8,50
cora_run5cctwsb1_VGAE,0.0,0.0,0.0,0.0,10.95,79.3,2.77,0.0,0.0,0.0,0.0,62.09,79.3,85.97,82.61,76.56,32,32,32,0.1,32,30,6,50
cora_runtxwefcwq_VGAE,0.0,0.0,0.0,0.0,10.95,79.3,2.77,0.0,0.0,0.0,0.0,62.09,79.3,85.97,82.61,76.56,32,32,32,0.1,32,30,7,50
cora_runsp60p1ig_VGAE,0.0,0.0,0.0,0.0,10.95,79.3,2.77,0.0,0.0,0.0,0.0,62.09,79.3,85.97,82.61,76.56,32,32,32,0.1,32,30,8,50
cora_runcvqo5ci0_VGAE,0.0,0.0,0.0,0.0,10.95,79.3,2.77,0.0,0.0,0.0,0.0,62.09,79.3,85.97,82.61,76.56,32,32,32,0.1,32,40,6,50
cora_runzq7bo5fl_VGAE,0.0,0.0,0.0,0.0,10.95,79.3,2.77,0.0,0.0,0.0,0.0,62.09,79.3,85.97,82.61,76.56,32,32,32,0.1,32,40,7,50
cora_rundw76mqb4_VGAE,0.0,0.0,0.0,0.0,10.95,79.3,2.77,0.0,0.0,0.0,0.0,62.09,79.3,85.97,82.61,76.56,32,32,32,0.1,32,40,8,50
cora_runerwq87in_VGAE,0.53,12.07,40.01,54.7,83.11,96.61,14.05,0.53,14.4,40.01,54.7,83.11,96.61,89.97,90.41,77.83,32,32,32,0.1,64,5,6,50
Best,1.16,12.07,57.15,68.97,87.91,97.17,19.44,1.16,24.58,58.39,68.97,87.91,97.17,90.2,90.79,79.01,32,32,32,0.1,64,40,10,100
