Metric,Hits@1,Hits@3,Hits@10,Hits@20,Hits@50,Hits@100,MRR,mrr_hit1,mrr_hit3,mrr_hit10,mrr_hit20,mrr_hit50,mrr_hit100,AUC,AP,acc,out_channels,hidden_channels,batch_size,lr,batch_size_sampler,num_neighbors,num_hops,epochs
cora_run54xgmhb3_GAE,18.96,26.76,46.49,59.54,84.43,96.76,27.47,18.96,26.76,46.49,59.54,84.43,96.76,89.53,92.01,78.84,32,32,32,0.1,32,5,6,100
cora_runt01acr2f_GAE,18.96,26.76,46.49,59.54,84.43,96.76,27.47,18.96,26.76,46.49,59.54,84.43,96.76,89.53,92.01,78.84,32,32,32,0.1,32,5,7,100
cora_runw5mviqi0_GAE,0.0,19.59,29.29,40.69,61.93,82.54,12.19,0.0,19.59,29.29,40.69,61.93,78.62,87.02,87.28,75.78,32,32,32,0.1,32,10,8,100
cora_runtgev716h_GAE,9.62,15.59,33.21,46.77,72.83,91.81,17.13,9.62,15.59,33.21,43.53,71.5,91.81,87.46,89.1,76.92,32,32,32,0.1,32,5,8,100
cora_run46ze1r26_GAE,9.62,15.59,32.71,48.27,72.83,91.81,17.13,9.62,15.59,32.71,48.27,71.5,91.81,87.46,89.1,75.67,32,32,32,0.1,32,10,6,100
cora_runz0jpfth9_GAE,9.62,15.59,29.77,48.27,72.83,91.81,17.13,9.62,15.59,29.77,48.27,71.5,91.81,87.46,89.1,75.67,32,32,32,0.1,32,10,7,100
cora_runfgvmndzw_GAE,9.62,15.59,29.77,36.7,72.83,91.81,17.13,9.62,15.59,29.77,36.7,71.5,82.45,86.47,89.1,75.67,32,32,32,0.1,32,20,6,100
cora_runhm0ot5z2_GAE,0.0,2.09,26.89,35.8,63.59,82.48,8.3,0.0,8.79,26.89,35.8,58.81,80.54,86.8,86.36,75.66,32,32,32,0.1,32,20,7,100
cora_run4fkioquv_GAE,0.0,2.09,26.89,35.8,63.59,82.48,8.3,0.0,8.79,26.89,36.63,58.81,80.54,86.8,86.36,75.66,32,32,32,0.1,32,20,8,100
cora_run6e4ej29s_GAE,0.0,2.09,26.69,37.33,63.59,82.34,10.23,0.0,8.79,26.89,36.63,58.81,80.54,86.69,86.55,73.73,32,32,32,0.1,32,30,6,100
cora_runfplr9201_GAE,0.0,2.09,26.69,37.33,63.59,82.34,10.23,0.0,8.79,26.89,36.63,58.81,80.54,86.69,86.55,73.73,32,32,32,0.1,32,30,7,100
cora_runylljmmj4_GAE,0.0,2.09,26.69,37.33,63.59,82.34,10.23,0.0,8.79,26.89,36.63,58.81,80.54,86.69,86.55,73.73,32,32,32,0.1,32,30,8,100
cora_runrrq9f81b_GAE,0.0,2.09,28.12,37.33,63.59,81.26,7.77,0.0,5.66,26.89,36.63,58.81,82.69,86.65,86.55,74.3,32,32,32,0.1,32,40,6,100
cora_runvt883y5v_GAE,0.0,2.09,28.12,37.33,63.59,81.26,7.77,0.0,5.66,26.89,36.63,58.81,82.69,86.65,86.55,74.3,32,32,32,0.1,32,40,7,100
cora_runbmtedj2b_GAE,0.0,2.09,28.12,37.33,63.59,81.26,7.77,0.0,5.66,26.89,34.74,58.81,82.69,86.65,86.55,74.3,32,32,32,0.1,32,40,8,100
cora_rungi8e7w0r_GAE,9.44,23.16,53.12,66.65,83.83,93.19,21.84,9.44,23.16,53.12,66.65,83.83,93.19,90.77,92.74,77.82,32,32,32,0.1,64,5,6,100
cora_runl921mr6c_GAE,9.44,23.16,53.12,66.65,83.83,93.19,21.84,9.44,23.16,53.12,66.65,83.83,93.19,90.77,92.74,77.82,32,32,32,0.1,64,5,7,100
cora_runnjxg7kdh_GAE,9.44,23.16,53.12,66.65,83.83,93.19,21.84,9.44,23.16,53.12,66.65,83.83,93.19,90.77,92.74,77.82,32,32,32,0.1,64,5,8,100
cora_runi7pdh0ml_GAE,9.44,23.16,53.12,66.65,83.83,93.19,21.84,9.44,23.16,53.12,66.65,83.83,93.19,90.77,92.74,77.82,32,32,32,0.1,64,10,6,100
cora_runlxlitgoj_GAE,9.44,23.16,53.12,66.65,83.83,93.19,21.84,9.44,23.16,53.12,66.65,83.83,93.19,90.77,92.74,77.82,32,32,32,0.1,64,10,7,100
cora_runvds7rs5p_GAE,9.44,23.16,53.12,66.65,83.83,93.19,21.84,9.44,23.16,53.12,66.65,83.83,93.19,90.77,92.74,77.82,32,32,32,0.1,64,10,8,100
cora_run71ocsjfr_GAE,9.44,23.16,53.12,66.65,83.83,93.19,21.84,9.44,23.16,53.12,66.65,83.83,93.19,90.77,92.74,77.82,32,32,32,0.1,64,20,6,100
cora_runvw68o2tv_GAE,9.44,23.16,53.12,66.65,83.83,93.19,21.84,9.44,23.16,53.12,66.65,83.83,93.19,90.77,92.74,77.82,32,32,32,0.1,64,20,7,100
