Metric,Hits@1,Hits@3,Hits@10,Hits@20,Hits@50,Hits@100,MRR,mrr_hit1,mrr_hit3,mrr_hit10,mrr_hit20,mrr_hit50,mrr_hit100,AUC,AP,acc,out_channels,hidden_channels,heads,negative_slope,dropout,num_layers,base_lr,batch_size,lr,batch_size_sampler,num_neighbors,num_hops,epochs
cora_runo6g625i1_GAT,21.74,42.49,65.72,78.43,92.46,96.88,38.27,21.74,42.49,65.72,78.43,92.46,96.88,93.27,95.5,80.93,128,256,4,0.1,0,5,0.015,32,0.1,32,5,6,50
cora_run47s6n8cz_GAT,29.5,42.49,65.72,78.43,92.46,96.88,38.27,29.5,42.49,65.72,78.43,92.46,96.88,94.02,95.5,80.93,128,256,4,0.1,0,5,0.015,32,0.1,32,5,7,50
cora_runy8ivdie9_GAT,35.55,42.49,65.72,78.43,92.46,96.88,38.27,35.55,44.0,65.72,78.43,92.46,96.88,93.27,95.5,80.93,128,256,4,0.1,0,5,0.015,32,0.1,32,5,8,50
cora_run96ymk0tk_GAT,35.55,42.49,65.72,78.43,92.46,96.88,38.27,35.55,44.0,65.72,78.43,92.46,96.88,93.27,95.5,80.93,128,256,4,0.1,0,5,0.015,32,0.1,32,10,6,50
cora_runixkgfbeh_GAT,35.55,42.49,65.72,78.43,92.46,96.88,38.27,35.55,44.0,65.72,78.43,92.46,96.88,93.27,95.5,80.93,128,256,4,0.1,0,5,0.015,32,0.1,32,10,7,50
cora_run77r489e0_GAT,35.55,42.49,65.72,78.43,92.46,96.88,38.27,35.55,44.0,65.72,78.43,92.46,96.88,93.27,95.5,80.93,128,256,4,0.1,0,5,0.015,32,0.1,32,10,8,50
cora_runfln9qhst_GAT,35.55,42.49,65.72,78.43,92.46,96.88,38.27,35.55,44.0,65.72,78.43,92.46,96.88,93.27,95.5,80.93,128,256,4,0.1,0,5,0.015,32,0.1,32,20,6,50
cora_runn66j3toq_GAT,35.55,42.49,65.72,78.43,92.46,96.88,38.27,35.55,44.0,65.72,78.43,92.46,96.88,93.27,95.5,80.93,128,256,4,0.1,0,5,0.015,32,0.1,32,20,7,50
cora_runl3hqmly7_GAT,35.55,42.49,65.72,78.43,92.46,96.88,38.27,35.55,44.0,65.72,78.43,92.46,96.88,93.27,95.5,80.93,128,256,4,0.1,0,5,0.015,32,0.1,32,20,8,50
cora_runmb5flipl_GAT,35.55,42.49,65.72,78.43,92.46,96.88,38.27,35.55,44.0,65.72,78.43,92.46,96.88,93.27,95.5,80.93,128,256,4,0.1,0,5,0.015,32,0.1,32,30,6,50
cora_runjd6pdeae_GAT,35.55,42.49,65.72,78.43,92.46,96.88,38.27,35.55,44.0,65.72,78.43,92.46,96.88,93.27,95.5,80.93,128,256,4,0.1,0,5,0.015,32,0.1,32,30,7,50
cora_run8csz3tes_GAT,35.55,42.49,65.72,78.43,92.46,96.88,38.27,35.55,44.0,65.72,78.43,92.46,96.88,93.27,95.5,80.93,128,256,4,0.1,0,5,0.015,32,0.1,32,30,8,50
cora_runm9h4uocf_GAT,35.55,42.49,65.72,78.43,92.46,96.88,38.27,35.55,44.0,65.72,78.43,92.46,96.88,93.27,95.5,80.93,128,256,4,0.1,0,5,0.015,32,0.1,32,40,6,50
