Metric,Hits@1,Hits@3,Hits@10,Hits@20,Hits@50,Hits@100,MRR,mrr_hit1,mrr_hit3,mrr_hit10,mrr_hit20,mrr_hit50,mrr_hit100,AUC,AP,ACC,out_channels,hidden_channels,heads,negative_slope,dropout,num_layers,base_lr,score_num_layers_predictor,score_gin_mlp_layer,score_hidden_channels,score_out_channels,score_num_layers,score_dropout,product,epochs,train_time,test_time,params
cora_run1qacz7uf_GAT_hypermr4mgthx,2.37,40.68,92.28,96.64,100.0,100.0,28.37,2.37,40.68,92.28,96.64,100.0,100.0,96.33,96.72,94.92,128,128,4,0.1,0.0,3,0.015,3,2,64,1,3,0.1,dot,20,9.975101470947266,10.117897510528564,229825
cora_runqeogi6ee_GAT_hyper8fqcylga,27.53,39.37,73.13,93.91,99.68,100.0,40.81,27.53,39.37,73.13,93.91,99.68,100.0,96.83,96.59,92.37,128,128,4,0.1,0.0,3,0.015,3,2,32,1,3,0.1,inner,20,5.164323329925537,5.3010029792785645,217344
cora_run1qacz7uf_GAT_hyperypkyh7ba,2.37,40.68,92.28,96.64,100.0,100.0,28.37,2.37,40.68,92.28,96.64,100.0,100.0,96.33,96.72,94.92,128,128,4,0.1,0.0,3,0.015,3,2,64,1,3,0.1,dot,20,7.059322118759155,7.135392189025879,229825
cora_runqeogi6ee_GAT_hyperekamaj3y,27.53,39.37,73.13,93.91,99.68,100.0,40.81,27.53,39.37,73.13,93.91,99.68,100.0,96.83,96.59,92.37,128,128,4,0.1,0.0,3,0.015,3,2,32,1,3,0.1,inner,20,7.645648002624512,7.776878118515015,217344
cora_runqeogi6ee_GAT_hyperlq07f0bw,27.53,39.37,73.13,93.91,99.68,100.0,40.81,27.53,39.37,73.13,93.91,99.68,100.0,96.83,96.59,92.37,128,128,4,0.1,0.0,3,0.015,3,2,32,1,3,0.1,inner,20,5.256761312484741,5.306635856628418,217344
cora_run1qacz7uf_GAT_hyperbcc6tzob,2.37,40.68,92.28,96.64,100.0,100.0,28.37,2.37,40.68,92.28,96.64,100.0,100.0,96.33,96.72,94.92,128,128,4,0.1,0.0,3,0.015,3,2,32,1,3,0.1,inner,20,10.134384870529177,10.175169944763184,217344
cora_runqeogi6ee_GAT_hyperzrmau83l,27.53,39.37,73.13,93.91,99.68,100.0,40.81,27.53,39.37,73.13,93.91,99.68,100.0,96.83,96.59,92.37,128,128,4,0.1,0.0,3,0.015,3,2,32,1,3,0.1,inner,20,17.34809446334839,17.414379358291626,217344
cora_run1qacz7uf_GAT_hyperp8dys3ln,2.37,40.68,92.28,96.64,100.0,100.0,28.37,2.37,40.68,92.28,96.64,100.0,100.0,96.33,96.72,94.92,128,128,4,0.1,0.0,3,0.015,3,2,32,1,3,0.1,inner,20,22.36903738975525,22.41421866416931,217344
cora_runqeogi6ee_GAT_hyper8qvamocg,27.53,39.37,73.13,93.91,99.68,100.0,40.81,27.53,39.37,73.13,93.91,99.68,100.0,96.83,96.59,92.37,128,128,4,0.1,0.0,3,0.015,3,2,32,1,3,0.1,inner,20,18.44625306129456,18.55104923248291,217344
cora_run1qacz7uf_GAT_hypern3b2hboo,2.37,40.68,92.28,96.64,100.0,100.0,28.37,2.37,40.68,92.28,96.64,100.0,100.0,96.33,96.72,94.92,128,128,4,0.1,0.0,3,0.015,3,2,32,1,3,0.1,inner,20,23.122742176055908,23.23498058319092,217344
cora_runqeogi6ee_GAT_hyper518vapmd,27.53,39.37,73.13,93.91,99.68,100.0,40.81,27.53,39.37,73.13,93.91,99.68,100.0,96.83,96.59,92.37,128,128,4,0.1,0.0,3,0.015,3,2,32,1,3,0.1,inner,20,21.364099740982056,21.422921657562256,217344
cora_run1qacz7uf_GAT_hypereazee239,2.37,40.68,92.28,96.64,100.0,100.0,28.37,2.37,40.68,92.28,96.64,100.0,100.0,96.33,96.72,94.92,128,128,4,0.1,0.0,3,0.015,3,2,32,1,3,0.1,inner,20,24.63632321357727,24.73864769935608,217344
cora_run1qacz7uf_GAT_hypercpfo0mrh,2.37,40.68,92.28,96.64,100.0,100.0,28.37,2.37,40.68,92.28,96.64,100.0,100.0,96.33,96.72,94.92,128,128,4,0.1,0.0,3,0.015,3,2,32,1,3,0.1,inner,20,11.669445276260376,11.731486082077026,217344
cora_runqeogi6ee_GAT_hyperuwusasvj,27.53,39.37,73.13,93.91,99.68,100.0,40.81,27.53,39.37,73.13,93.91,99.68,100.0,96.83,96.59,92.37,128,128,4,0.1,0.0,3,0.015,3,2,32,1,3,0.1,inner,20,24.44112777709961,24.49879193305969,217344
cora_run1qacz7uf_GAT_hyper7pas6fy1,2.37,40.68,92.28,96.64,100.0,100.0,28.37,2.37,40.68,92.28,96.64,100.0,100.0,96.33,96.72,94.92,128,128,4,0.1,0.0,3,0.015,3,2,32,1,3,0.1,inner,20,14.231899499893188,14.351168632507324,217344
cora_runqeogi6ee_GAT_hyperow7pvzrh,27.53,39.37,73.13,93.91,99.68,100.0,40.81,27.53,39.37,73.13,93.91,99.68,100.0,96.83,96.59,92.37,128,128,4,0.1,0.0,3,0.015,3,2,32,1,3,0.1,inner,20,10.290003538131714,10.383737325668337,217344
cora_run1qacz7uf_GAT_hyper0ynyge8x,2.37,40.68,92.28,96.64,100.0,100.0,28.37,2.37,40.68,92.28,96.64,100.0,100.0,96.33,96.72,94.92,128,128,4,0.1,0.0,3,0.015,3,2,32,1,3,0.1,inner,20,13.842404127120972,14.00204062461853,217344
cora_runqeogi6ee_GAT_hyperklis86vs,27.53,39.37,73.13,93.91,99.68,100.0,40.81,27.53,39.37,73.13,93.91,99.68,100.0,96.83,96.59,92.37,128,128,4,0.1,0.0,3,0.015,3,2,32,1,3,0.1,inner,20,12.50243043899536,12.619949340820312,217344
cora_runqeogi6ee_GAT_hyperca566tih,27.53,39.37,73.13,93.91,99.68,100.0,40.81,27.53,39.37,73.13,93.91,99.68,100.0,96.83,96.59,92.37,128,128,4,0.1,0.0,3,0.015,3,2,32,1,3,0.1,inner,20,14.692991495132446,14.867032766342165,217344
cora_run1qacz7uf_GAT_hyperk3y29n7a,2.37,40.68,92.28,96.64,100.0,100.0,28.37,2.37,40.68,92.28,96.64,100.0,100.0,96.33,96.72,94.92,128,128,4,0.1,0.0,3,0.015,3,2,32,1,3,0.1,inner,20,15.66965389251709,15.770822525024414,217344
cora_run1qacz7uf_GAT_hyper17ttv1wq,2.37,40.68,92.28,96.64,100.0,100.0,28.37,2.37,40.68,92.28,96.64,100.0,100.0,96.33,96.72,94.92,128,128,4,0.1,0.0,3,0.015,3,2,32,1,3,0.1,inner,20,6.561371803283691,6.69340443611145,217344
cora_runqeogi6ee_GAT_hyperbkrymjl8,27.53,39.37,73.13,93.91,99.68,100.0,40.81,27.53,39.37,73.13,93.91,99.68,100.0,96.83,96.59,92.37,128,128,4,0.1,0.0,3,0.015,3,2,32,1,3,0.1,inner,20,12.586856365203856,12.643364191055298,217344
