Metric,Hits@1,Hits@3,Hits@10,Hits@20,Hits@50,Hits@100,MRR,mrr_hit1,mrr_hit3,mrr_hit10,mrr_hit20,mrr_hit50,mrr_hit100,AUC,AP,acc,out_channels,hidden_channels,batch_size,lr,batch_size_sampler,num_neighbors,num_hops,epochs
cora_run32k4dy96_GraphSage,56.15,63.3,71.52,79.56,89.33,95.48,61.71,56.15,63.3,71.52,79.56,89.33,95.48,93.17,96.04,80.82,256,256,32,0.1,32,5,6,50
cora_runi7z9n40c_GraphSage,50.51,63.3,71.52,79.56,89.33,95.48,56.81,50.51,63.3,71.52,79.56,89.33,95.48,92.69,96.04,80.82,256,256,32,0.1,32,5,7,50
cora_run21m42n6a_GraphSage,50.51,63.3,71.52,79.56,89.33,95.48,56.81,50.51,63.3,71.52,79.56,89.33,95.48,92.63,96.04,80.82,256,256,32,0.1,32,5,8,50
cora_runnimaqyuf_GraphSage,50.51,63.3,71.52,79.56,89.33,95.48,56.81,50.51,63.3,71.52,79.56,89.33,95.48,92.63,96.04,80.82,256,256,32,0.1,32,10,6,50
cora_runzrc0qw4g_GraphSage,50.51,63.3,71.52,79.56,89.33,95.48,56.81,50.51,63.3,71.52,79.56,89.33,95.48,92.33,96.04,80.82,256,256,32,0.1,32,10,7,50
cora_run0baomadq_GraphSage,50.51,63.3,71.52,79.56,89.33,95.48,56.81,50.51,63.3,71.52,79.56,89.33,95.48,92.13,96.04,80.82,256,256,32,0.1,32,10,8,50
cora_runnfob65pw_GraphSage,50.51,63.3,71.52,79.56,89.33,95.48,56.81,50.51,63.3,71.52,79.56,89.33,95.48,92.13,96.04,80.82,256,256,32,0.1,32,20,6,50
cora_runl4irb6kn_GraphSage,50.51,63.3,71.52,79.56,89.33,95.48,56.81,50.51,63.3,71.52,79.56,89.33,95.48,91.79,96.04,80.82,256,256,32,0.1,32,20,7,50
cora_runeqzmjhea_GraphSage,50.51,63.3,71.52,79.56,89.33,95.48,56.81,50.51,63.3,71.52,79.56,89.33,95.48,91.77,96.04,80.82,256,256,32,0.1,32,20,8,50
cora_runlkkcm9wz_GraphSage,50.51,63.3,71.52,79.56,89.33,95.48,56.81,50.51,63.3,71.52,79.56,89.33,95.48,91.77,96.04,80.82,256,256,32,0.1,32,30,6,50
cora_runpxymogmw_GraphSage,50.51,63.3,71.52,79.56,89.33,95.48,56.81,50.51,63.3,71.52,79.56,89.33,95.48,91.77,96.04,80.82,256,256,32,0.1,32,30,7,50
cora_runoj18loob_GraphSage,50.51,63.3,71.52,79.56,89.33,95.48,56.81,50.51,63.3,71.52,79.56,89.33,95.48,91.77,96.04,80.82,256,256,32,0.1,32,30,8,50
cora_runal4ambpx_GraphSage,35.93,63.3,71.52,79.56,89.33,95.48,56.81,35.93,63.3,71.52,79.56,89.33,95.48,91.77,96.04,80.82,256,256,32,0.1,32,40,6,50
cora_runglmwaymt_GraphSage,35.93,63.3,71.52,79.56,89.33,95.48,56.81,35.93,63.3,71.52,79.56,89.33,95.48,91.77,96.04,80.82,256,256,32,0.1,32,40,7,50
cora_run4c52iyix_GraphSage,35.93,63.3,71.52,79.56,89.33,95.48,56.81,35.93,63.3,71.52,79.56,89.33,95.48,91.77,96.04,80.82,256,256,32,0.1,32,40,8,50
cora_runxzauvnwa_GraphSage,35.93,63.3,71.52,79.56,89.33,95.48,56.81,35.93,63.3,71.52,79.56,89.33,95.48,91.77,95.79,80.82,256,256,32,0.1,64,5,6,50
cora_runs5ne6sy6_GraphSage,35.93,58.73,71.52,79.56,89.33,95.48,56.81,35.93,58.73,71.52,79.56,89.33,95.48,91.77,95.79,80.82,256,256,32,0.1,64,5,7,50
cora_rungzoirjvd_GraphSage,55.19,58.73,71.52,79.56,89.33,95.48,59.51,55.19,58.73,71.52,79.56,89.33,95.48,91.77,95.79,80.82,256,256,32,0.1,64,5,8,50
cora_runyr1i5eds_GraphSage,55.19,58.73,71.52,79.56,89.33,95.48,59.51,55.19,58.73,71.52,79.56,89.33,95.48,91.77,95.79,80.82,256,256,32,0.1,64,10,6,50
cora_runbu9f5e6p_GraphSage,55.19,58.73,71.52,79.56,89.33,95.48,59.51,55.19,58.73,71.52,79.56,89.33,95.48,91.77,95.79,80.82,256,256,32,0.1,64,10,7,50
cora_runle00f52c_GraphSage,55.19,58.73,71.52,79.56,89.33,95.48,59.51,55.19,58.73,71.52,79.56,89.33,95.48,91.77,95.79,80.82,256,256,32,0.1,64,10,8,50
cora_runuf0hbpyq_GraphSage,55.19,58.73,71.52,79.56,89.33,95.48,59.51,55.19,58.73,71.52,79.56,89.33,95.48,91.77,95.79,80.82,256,256,32,0.1,64,20,6,50
cora_runqmv4q4c3_GraphSage,55.19,58.73,71.52,79.56,89.33,95.48,59.51,55.19,58.73,71.52,79.56,89.33,95.48,91.77,95.79,80.82,256,256,32,0.1,64,20,7,50
cora_runiy79q7ny_GraphSage,55.19,58.73,71.52,79.56,89.33,95.48,59.51,55.19,58.73,71.52,79.56,89.33,95.48,92.25,95.79,80.82,256,256,32,0.1,64,20,8,50
cora_runejrs5nbo_GraphSage,55.19,58.73,71.52,79.56,89.33,95.48,59.51,55.19,58.73,71.52,79.56,89.33,95.48,92.25,95.79,80.82,256,256,32,0.1,64,30,6,50
cora_runkc1j84tg_GraphSage,55.19,58.73,71.52,79.56,89.33,95.48,59.51,55.19,58.73,71.52,79.56,89.33,95.48,92.25,95.79,80.82,256,256,32,0.1,64,30,7,50
cora_runstyenacz_GraphSage,55.19,58.73,71.52,79.56,89.33,95.48,59.51,55.19,58.73,71.52,79.56,89.33,95.48,92.31,95.79,80.82,256,256,32,0.1,64,30,8,50
cora_run4vb66dkz_GraphSage,55.19,58.73,71.52,79.56,89.33,95.48,59.51,55.19,58.73,71.52,79.56,89.33,95.48,92.31,95.79,80.82,256,256,32,0.1,64,40,6,50
cora_runqou6f25o_GraphSage,55.19,58.73,71.52,79.56,89.33,95.48,59.51,55.19,58.73,71.52,79.56,89.33,95.48,92.31,95.79,80.82,256,256,32,0.1,64,40,7,50
cora_runw85norx9_GraphSage,55.19,58.73,71.52,79.56,89.33,95.48,59.51,55.19,58.73,71.52,79.56,89.33,95.48,92.31,95.79,80.82,256,256,32,0.1,64,40,8,50
cora_runix89e7bn_GraphSage,55.19,59.28,71.52,79.56,89.33,95.48,59.96,55.19,59.28,71.52,79.56,89.33,95.48,92.31,95.79,80.82,256,256,32,0.1,128,5,6,50
cora_runzahrpdcv_GraphSage,55.19,59.28,71.52,79.56,89.33,95.48,59.96,55.19,59.28,71.52,79.56,89.33,95.48,92.31,95.79,80.82,256,256,32,0.1,128,5,7,50
