Metric,Hits@1,Hits@3,Hits@10,Hits@20,Hits@50,Hits@100,MRR,mrr_hit1,mrr_hit3,mrr_hit10,mrr_hit20,mrr_hit50,mrr_hit100,AUC,AP,ACC,out_channels,hidden_channels,base_lr,score_num_layers_predictor,score_gin_mlp_layer,score_hidden_channels,score_out_channels,score_num_layers,score_dropout,product,epochs,train_time,test_time,params
cora_runtjnqv6k9_GraphSage_hyper51m5kw8m,15.52,25.59,26.41,62.62,98.29,100.0,20.17,15.52,25.59,26.41,62.62,98.29,100.0,92.8,93.73,86.87,16,16,0.015,3,2,16,1,3,0.1,dot,20,14.583012580871582,14.624621152877808,47489
cora_runaoxwszg7_GraphSage_hyper94ep3qdy,5.65,14.67,25.67,53.36,91.03,99.65,15.17,5.65,14.67,25.67,53.36,91.03,99.65,91.82,88.87,86.6,16,16,0.015,3,2,16,1,3,0.1,inner,20,9.282917737960815,9.469939947128296,46928
cora_runtjnqv6k9_GraphSage_hyper8mgmju47,15.52,25.59,26.41,62.62,98.29,100.0,20.17,15.52,25.59,26.41,62.62,98.29,100.0,92.8,93.73,86.87,16,16,0.015,3,2,16,1,3,0.1,dot,20,17.32751441001892,17.465961456298828,47489
cora_runaoxwszg7_GraphSage_hyperiyhv6njq,5.65,14.67,25.67,53.36,91.03,99.65,15.17,5.65,14.67,25.67,53.36,91.03,99.65,91.82,88.87,86.6,16,16,0.015,3,2,16,1,3,0.1,inner,20,10.891361474990845,11.077312231063845,46928
cora_runaoxwszg7_GraphSage_hyper1cb22yg4,5.65,14.67,25.67,53.36,91.03,99.65,15.17,5.65,14.67,25.67,53.36,91.03,99.65,91.82,88.87,86.6,16,16,0.015,3,2,16,1,3,0.1,inner,20,9.669991970062256,9.72752070426941,46928
cora_runtjnqv6k9_GraphSage_hyperxwh67ele,15.52,25.59,26.41,62.62,98.29,100.0,20.17,15.52,25.59,26.41,62.62,98.29,100.0,92.8,93.73,86.87,16,16,0.015,3,2,16,1,3,0.1,dot,20,19.43255376815796,19.52729082107544,47489
cora_runaoxwszg7_GraphSage_hyperccivcxq6,5.65,14.67,25.67,53.36,91.03,99.65,15.17,5.65,14.67,25.67,53.36,91.03,99.65,91.82,88.87,86.6,16,16,0.015,3,2,16,1,3,0.1,inner,20,13.091519832611084,13.293314218521118,46928
cora_runaoxwszg7_GraphSage_hypercij6dg38,5.65,14.67,25.67,53.36,91.03,99.65,15.17,5.65,14.67,25.67,53.36,91.03,99.65,91.82,88.87,86.6,16,16,0.015,3,2,16,1,3,0.1,inner,20,5.598166227340698,5.654738426208496,46928
cora_runaoxwszg7_GraphSage_hyperuapq6z6k,5.65,14.67,25.67,53.36,91.03,99.65,15.17,5.65,14.67,25.67,53.36,91.03,99.65,91.82,88.87,86.6,16,16,0.015,3,2,16,1,3,0.1,inner,20,6.669124841690064,6.784056901931763,46928
cora_runtjnqv6k9_GraphSage_hypers1e5u6hs,15.52,25.59,26.41,62.62,98.29,100.0,20.17,15.52,25.59,26.41,62.62,98.29,100.0,92.8,93.73,86.87,16,16,0.015,3,2,16,1,3,0.1,dot,20,24.83725333213806,24.90087938308716,47489
cora_runaoxwszg7_GraphSage_hyper6lgrrrjt,5.65,14.67,25.67,53.36,91.03,99.65,15.17,5.65,14.67,25.67,53.36,91.03,99.65,91.82,88.87,86.6,16,16,0.015,3,2,16,1,3,0.1,inner,20,7.753052234649658,7.81743597984314,46928
cora_runtjnqv6k9_GraphSage_hyper5r5k7rt7,15.52,25.59,26.41,62.62,98.29,100.0,20.17,15.52,25.59,26.41,62.62,98.29,100.0,92.8,93.73,86.87,16,16,0.015,3,2,16,1,3,0.1,dot,20,10.390254020690918,10.563134670257568,47489
cora_runaoxwszg7_GraphSage_hyperex1djw11,5.65,14.67,25.67,53.36,91.03,99.65,15.17,5.65,14.67,25.67,53.36,91.03,99.65,91.82,88.87,86.6,16,16,0.015,3,2,16,1,3,0.1,inner,20,3.688737154006958,3.758611917495728,46928
cora_runtjnqv6k9_GraphSage_hyperh1an9j9a,15.52,25.59,26.41,62.62,98.29,100.0,20.17,15.52,25.59,26.41,62.62,98.29,100.0,92.8,93.73,86.87,16,16,0.015,3,2,16,1,3,0.1,dot,20,9.438364505767822,9.500717401504517,47489
cora_runaoxwszg7_GraphSage_hyperg12tvrf5,5.65,14.67,25.67,53.36,91.03,99.65,15.17,5.65,14.67,25.67,53.36,91.03,99.65,91.82,88.87,86.6,16,16,0.015,3,2,16,1,3,0.1,inner,20,13.36579418182373,13.493160009384155,46928
cora_runtjnqv6k9_GraphSage_hyperltidcrm5,15.52,25.59,26.41,62.62,98.29,100.0,20.17,15.52,25.59,26.41,62.62,98.29,100.0,92.8,93.73,86.87,16,16,0.015,3,2,16,1,3,0.1,dot,20,11.75630521774292,11.852243661880491,47489
cora_runaoxwszg7_GraphSage_hyperlwl3d1jt,5.65,14.67,25.67,53.36,91.03,99.65,15.17,5.65,14.67,25.67,53.36,91.03,99.65,91.82,88.87,86.6,16,16,0.015,3,2,16,1,3,0.1,inner,20,16.77176785469055,16.821638822555542,46928
cora_runtjnqv6k9_GraphSage_hyperk70j4d3t,15.52,25.59,26.41,62.62,98.29,100.0,20.17,15.52,25.59,26.41,62.62,98.29,100.0,92.8,93.73,86.87,16,16,0.015,3,2,16,1,3,0.1,dot,20,9.824093103408812,9.890117883682253,47489
cora_runtjnqv6k9_GraphSage_hyperhmtppouc,15.52,25.59,26.41,62.62,98.29,100.0,20.17,15.52,25.59,26.41,62.62,98.29,100.0,92.8,93.73,86.87,16,16,0.015,3,2,16,1,3,0.1,dot,20,6.434345245361328,6.548008918762207,47489
cora_runaoxwszg7_GraphSage_hyperowa4ed9o,5.65,14.67,25.67,53.36,91.03,99.65,15.17,5.65,14.67,25.67,53.36,91.03,99.65,91.82,88.87,86.6,16,16,0.015,3,2,16,1,3,0.1,inner,20,19.35765171051025,19.40776562690735,46928
cora_runtjnqv6k9_GraphSage_hyperm5c2b99j,15.52,25.59,26.41,62.62,98.29,100.0,20.17,15.52,25.59,26.41,62.62,98.29,100.0,92.8,93.73,86.87,16,16,0.015,3,2,16,1,3,0.1,dot,20,4.932166576385498,5.027158498764038,47489
cora_runtjnqv6k9_GraphSage_hyperakyr9c9q,15.52,25.59,26.41,62.62,98.29,100.0,20.17,15.52,25.59,26.41,62.62,98.29,100.0,92.8,93.73,86.87,16,16,0.015,3,2,16,1,3,0.1,dot,20,6.261828184127808,6.37827730178833,47489
cora_runtjnqv6k9_GraphSage_hypercjxk7721,15.52,25.59,26.41,62.62,98.29,100.0,20.17,15.52,25.59,26.41,62.62,98.29,100.0,92.8,93.73,86.87,16,16,0.015,3,2,16,1,3,0.1,dot,20,6.09072732925415,6.272638559341431,47489
cora_runaoxwszg7_GraphSage_hypery16marmd,5.65,14.67,25.67,53.36,91.03,99.65,15.17,5.65,14.67,25.67,53.36,91.03,99.65,91.82,88.87,86.6,16,16,0.015,3,2,16,1,3,0.1,inner,20,20.3137423992157,20.37063217163086,46928
cora_runtjnqv6k9_GraphSage_hyperjq5vwa08,15.52,25.59,26.41,62.62,98.29,100.0,20.17,15.52,25.59,26.41,62.62,98.29,100.0,92.8,93.73,86.87,16,16,0.015,3,2,16,1,3,0.1,dot,20,15.50778079032898,15.602729082107544,47489
cora_runaoxwszg7_GraphSage_hyper166gwnu5,5.65,14.67,25.67,53.36,91.03,99.65,15.17,5.65,14.67,25.67,53.36,91.03,99.65,91.82,88.87,86.6,16,16,0.015,3,2,16,1,3,0.1,inner,20,8.423232316970825,8.59970736503601,46928
cora_runaoxwszg7_GraphSage_hyperow0lhfac,5.65,14.67,25.67,53.36,91.03,99.65,15.17,5.65,14.67,25.67,53.36,91.03,99.65,91.82,88.87,86.6,16,16,0.015,3,2,16,1,3,0.1,inner,20,11.066144704818726,11.120020151138306,46928
cora_runtjnqv6k9_GraphSage_hyperlsbuupey,15.52,25.59,26.41,62.62,98.29,100.0,20.17,15.52,25.59,26.41,62.62,98.29,100.0,92.8,93.73,86.87,16,16,0.015,3,2,16,1,3,0.1,dot,20,19.53393840789795,19.584502696990967,47489
cora_runaoxwszg7_GraphSage_hypervgk3s97n,5.65,14.67,25.67,53.36,91.03,99.65,15.17,5.65,14.67,25.67,53.36,91.03,99.65,91.82,88.87,86.6,16,16,0.015,3,2,16,1,3,0.1,inner,20,11.156142234802246,11.299691438674929,46928
cora_runaoxwszg7_GraphSage_hyper0fhqdfyf,5.65,14.67,25.67,53.36,91.03,99.65,15.17,5.65,14.67,25.67,53.36,91.03,99.65,91.82,88.87,86.6,16,16,0.015,3,2,16,1,3,0.1,inner,20,11.214642763137816,11.28384780883789,46928
cora_runtjnqv6k9_GraphSage_hyperu3x2kgh1,15.52,25.59,26.41,62.62,98.29,100.0,20.17,15.52,25.59,26.41,62.62,98.29,100.0,92.8,93.73,86.87,16,16,0.015,3,2,16,1,3,0.1,dot,20,16.5569748878479,16.665427207946777,47489
cora_runaoxwszg7_GraphSage_hyperv9kgq6ir,5.65,14.67,25.67,53.36,91.03,99.65,15.17,5.65,14.67,25.67,53.36,91.03,99.65,91.82,88.87,86.6,16,16,0.015,3,2,16,1,3,0.1,inner,20,4.52804970741272,4.715979337692261,46928
cora_runaoxwszg7_GraphSage_hyper6fw4ztsq,5.65,14.67,25.67,53.36,91.03,99.65,15.17,5.65,14.67,25.67,53.36,91.03,99.65,91.82,88.87,86.6,16,16,0.015,3,2,16,1,3,0.1,inner,20,5.526366233825684,5.689536333084106,46928
cora_runaoxwszg7_GraphSage_hyperl5i3l58q,5.65,14.67,25.67,53.36,91.03,99.65,15.17,5.65,14.67,25.67,53.36,91.03,99.65,91.82,88.87,86.6,16,16,0.015,3,2,16,1,3,0.1,inner,20,7.345473051071167,7.467193365097046,46928
cora_runtjnqv6k9_GraphSage_hypero0z0j3ys,15.52,25.59,26.41,62.62,98.29,100.0,20.17,15.52,25.59,26.41,62.62,98.29,100.0,92.8,93.73,86.87,16,16,0.015,3,2,16,1,3,0.1,dot,20,18.814111948013306,18.919349431991577,47489
cora_runaoxwszg7_GraphSage_hypera0uefqok,5.65,14.67,25.67,53.36,91.03,99.65,15.17,5.65,14.67,25.67,53.36,91.03,99.65,91.82,88.87,86.6,16,16,0.015,3,2,16,1,3,0.1,inner,20,5.141074895858765,5.199766159057617,46928
cora_runtjnqv6k9_GraphSage_hyper2ha5956u,15.52,25.59,26.41,62.62,98.29,100.0,20.17,15.52,25.59,26.41,62.62,98.29,100.0,92.8,93.73,86.87,16,16,0.015,3,2,16,1,3,0.1,dot,20,9.104214906692505,9.251201868057253,47489
cora_runaoxwszg7_GraphSage_hypertq59iepa,5.65,14.67,25.67,53.36,91.03,99.65,15.17,5.65,14.67,25.67,53.36,91.03,99.65,91.82,88.87,86.6,16,16,0.015,3,2,16,1,3,0.1,inner,20,13.598224401474,13.69713020324707,46928
cora_runtjnqv6k9_GraphSage_hypervsj2i2d8,15.52,25.59,26.41,62.62,98.29,100.0,20.17,15.52,25.59,26.41,62.62,98.29,100.0,92.8,93.73,86.87,16,16,0.015,3,2,16,1,3,0.1,dot,20,10.714273452758787,10.859941005706789,47489
cora_runtjnqv6k9_GraphSage_hyper2d9jm6a0,15.52,25.59,26.41,62.62,98.29,100.0,20.17,15.52,25.59,26.41,62.62,98.29,100.0,92.8,93.73,86.87,16,16,0.015,3,2,16,1,3,0.1,dot,20,10.92005705833435,11.099669218063354,47489
cora_runaoxwszg7_GraphSage_hyperrfm4iy2z,5.65,14.67,25.67,53.36,91.03,99.65,15.17,5.65,14.67,25.67,53.36,91.03,99.65,91.82,88.87,86.6,16,16,0.015,3,2,16,1,3,0.1,inner,20,12.580499649047852,12.63187837600708,46928
cora_runtjnqv6k9_GraphSage_hyper2pks6bj3,15.52,25.59,26.41,62.62,98.29,100.0,20.17,15.52,25.59,26.41,62.62,98.29,100.0,92.8,93.73,86.87,16,16,0.015,3,2,16,1,3,0.1,dot,20,13.436488389968872,13.557758569717407,47489
cora_runtjnqv6k9_GraphSage_hyperulnkdr0n,15.52,25.59,26.41,62.62,98.29,100.0,20.17,15.52,25.59,26.41,62.62,98.29,100.0,92.8,93.73,86.87,16,16,0.015,3,2,16,1,3,0.1,dot,20,5.747750997543335,5.821331024169922,47489
cora_runaoxwszg7_GraphSage_hyperjul7rtdd,5.65,14.67,25.67,53.36,91.03,99.65,15.17,5.65,14.67,25.67,53.36,91.03,99.65,91.82,88.87,86.6,16,16,0.015,3,2,16,1,3,0.1,inner,20,14.095706701278688,14.14867615699768,46928
cora_runtjnqv6k9_GraphSage_hyperx1ol4m8m,15.52,25.59,26.41,62.62,98.29,100.0,20.17,15.52,25.59,26.41,62.62,98.29,100.0,92.8,93.73,86.87,16,16,0.015,3,2,16,1,3,0.1,dot,20,6.357004165649414,6.480987071990967,47489
cora_runtjnqv6k9_GraphSage_hypereetcbzzw,15.52,25.59,26.41,62.62,98.29,100.0,20.17,15.52,25.59,26.41,62.62,98.29,100.0,92.8,93.73,86.87,16,16,0.015,3,2,16,1,3,0.1,dot,20,6.900820016860962,6.970863342285156,47489
cora_runaoxwszg7_GraphSage_hyperwxqrtv4z,5.65,14.67,25.67,53.36,91.03,99.65,15.17,5.65,14.67,25.67,53.36,91.03,99.65,91.82,88.87,86.6,16,16,0.015,3,2,16,1,3,0.1,inner,20,19.26397180557251,19.37104821205139,46928
cora_runtjnqv6k9_GraphSage_hyperqwfby63p,15.52,25.59,26.41,62.62,98.29,100.0,20.17,15.52,25.59,26.41,62.62,98.29,100.0,92.8,93.73,86.87,16,16,0.015,3,2,16,1,3,0.1,dot,20,6.7380993366241455,6.920327186584473,47489
cora_runaoxwszg7_GraphSage_hyperiknexjhl,5.65,14.67,25.67,53.36,91.03,99.65,15.17,5.65,14.67,25.67,53.36,91.03,99.65,91.82,88.87,86.6,16,16,0.015,3,2,16,1,3,0.1,inner,20,9.640302419662476,9.807392120361328,46928
