Metric,Hits@1,Hits@3,Hits@10,Hits@20,Hits@50,Hits@100,MRR,mrr_hit1,mrr_hit3,mrr_hit10,mrr_hit20,mrr_hit50,mrr_hit100,AUC,AP,ACC,out_channels,hidden_channels,heads,negative_slope,dropout,num_layers,base_lr,score_num_layers_predictor,score_gin_mlp_layer,score_hidden_channels,score_out_channels,score_num_layers,score_dropout,product,epochs,train_time,test_time,params
cora_runjwtlb5my_GAT_hyper4n1agc6r,5.5,16.49,33.33,56.27,81.64,97.38,15.32,5.5,16.49,33.33,56.27,81.64,97.38,83.89,90.0,75.66,16,16,4,0.1,0,3,0.015,1,2,64,1,1,0.1,inner,100,12.473889112472534,12.53665280342102,23584
cora_runjwtlb5my_GAT_hyperve1r7u5b,5.5,16.49,33.33,56.27,81.64,97.38,15.32,5.5,16.49,33.33,56.27,81.64,97.38,85.57,87.23,78.62,16,16,4,0.1,0,3,0.015,1,2,64,1,1,0.1,inner,100,16.45625591278076,16.528218984603882,23584
cora_runjwtlb5my_GAT_hyperbkxudhsb,5.5,16.49,33.33,56.27,81.64,97.38,15.32,5.5,16.49,33.33,56.27,81.64,97.38,85.57,87.23,78.62,16,16,4,0.1,0,3,0.015,1,2,64,1,1,0.1,inner,100,18.274751663208008,18.32674598693848,23584
cora_runjwtlb5my_GAT_hyperpijjrqgm,5.5,16.49,33.33,56.27,81.64,97.38,15.32,5.5,16.49,33.33,56.27,81.64,97.38,85.57,87.23,78.62,16,16,4,0.1,0,3,0.015,1,2,64,1,1,0.1,inner,100,17.90994668006897,17.999320030212402,23584
cora_runjwtlb5my_GAT_hyperylykjh6c,5.5,16.49,33.33,56.27,81.64,97.38,15.32,5.5,16.49,33.33,56.27,81.64,97.38,85.57,87.23,78.62,16,16,4,0.1,0,3,0.015,1,2,64,1,1,0.1,inner,100,16.80395817756653,16.89360284805298,23584
cora_runjwtlb5my_GAT_hyperlpnjf4nt,5.5,16.49,33.33,56.27,81.64,97.38,15.32,5.5,16.49,33.33,56.27,81.64,97.38,85.57,87.23,78.62,16,16,4,0.1,0,3,0.015,1,2,64,1,1,0.1,inner,100,18.098732948303223,18.202804565429688,23584
cora_runjwtlb5my_GAT_hyperu2sb8s52,5.5,16.49,33.33,56.27,81.64,97.38,15.32,5.5,16.49,33.33,56.27,81.64,97.38,85.57,87.23,78.62,16,16,4,0.1,0,3,0.015,1,2,64,1,1,0.1,inner,100,19.03489255905152,19.074766874313354,23584
cora_runjwtlb5my_GAT_hyperjwj6tf8v,5.5,16.49,33.33,56.27,81.64,97.38,15.32,5.5,16.49,33.33,56.27,81.64,97.38,85.57,87.23,78.62,16,16,4,0.1,0,3,0.015,1,2,64,1,1,0.1,inner,100,21.051246643066406,21.10957312583924,23584
cora_runjwtlb5my_GAT_hyper8sqe04q0,5.5,16.49,33.33,56.27,81.64,97.38,15.32,5.5,16.49,33.33,56.27,81.64,97.38,85.57,87.23,78.62,16,16,4,0.1,0,3,0.015,1,2,64,1,1,0.1,inner,100,19.034679174423218,19.094124794006348,23584
cora_runjwtlb5my_GAT_hyper2q4ijtj0,5.5,16.49,33.33,56.27,81.64,97.38,15.32,5.5,16.49,33.33,56.27,81.64,97.38,85.57,87.23,78.62,16,16,4,0.1,0,3,0.015,1,2,64,1,1,0.1,inner,100,19.836451292037964,19.872402906417847,23584
